prclient,prid,pridfiltered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Carvela,6331900069,6331900069,Carvela Women's Clutch Bag Black Fabric Other Maria Disco,https://www.shoeaholics.com/women/bags/clutch-bags/maria-disco-clutch-black-fabric-other-carvela-6331900069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Crystal Clutch Bag, Black","Black Crystal Clutch Bag, Black",79.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/3/6331900069.jpg?v=1&width=800,Women > Bags > Clutch-bags,Women > Bags > Clutch-bags,18/08/2026,,FALSE,,28,IN STOCK,,,Black,,,1400,TRUE,TRUE,TRUE
Steve Madden,5142654109,5142654109,Steve Madden Lucid Wine,https://www.shoeaholics.com/women/shoes/boots/heeled/lucid-622-wine-leather-steve-madden-5142654109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Lucid Wine """", 5 Uk, Wine","Womens Steve Madden Lucid Wine """", 5 Uk, Wine",79.00,230.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5142654109.jpg?v=1&width=800,Women > Shoes > Boots > Heeled,Women > Shoes > Boots > Heeled,18/08/2026,,FALSE,,149,IN STOCK,,,Red,,,541,TRUE,TRUE,TRUE
Kurt Geiger London,5070339609,5070339609,KURT GEIGER Women's Ruana Fabric Jacquard,https://www.shoeaholics.com/women/accessories/jacquard-ruana-brown-other-fabric-kurt-geiger-london-5070339609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Jacquard Ruana """", No Size","Womens Kurt Geiger London Jacquard Ruana """", No Size",69.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/0/5070339609.jpg?v=1&width=800,Women > Accessories,Women > Accessories,18/08/2026,,FALSE,,12,IN STOCK,,,,,,1864,TRUE,TRUE,TRUE
Kg Kurt Geiger,5140700829,5140700829,KG Kurt Geiger Women's Boots Black Synthetic Stud,https://www.shoeaholics.com/women/shoes/boots/ankle/stud-black-polyurethane-kg-kurt-geiger-5140700829?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Leather Alternative Ankle Boot, Black","Black Leather Alternative Ankle Boot, Black",29.00,169.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5140700829.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,18/08/2026,,FALSE,,12,IN STOCK,,,Black,,,1865,TRUE,TRUE,TRUE
Carvela,3918400979,3918400979,Carvela Women's Boots Black Synthetic Explorer,https://www.shoeaholics.com/women/shoes/boots/biker/explorer-zip-black-synthetic-carvela-3918400979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Chunky Ankle Boot, Black","Black Chunky Ankle Boot, Black",39.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/3/9/3918400979.jpg?v=1&width=800,Brands > Carvela > Womens-shoes,Brands > Carvela > Womens-shoes,18/08/2026,,FALSE,,17,IN STOCK,,,Black,,,1686,TRUE,TRUE,TRUE
Steve Madden,6155300209,6155300209,Steve Madden Banner Boot Black,https://www.shoeaholics.com/women/shoes/boots/banner-f-015-black-suede-steve-madden-6155300209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Banner Boot Black """", 5 Uk, Black","Womens Steve Madden Banner Boot Black """", 5 Uk, Black",99.00,230.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/1/6155300209.jpg?v=1&width=800,Women > Shoes > Boots,Women > Shoes > Boots,18/08/2026,,FALSE,,21,IN STOCK,,,Black,,,1558,TRUE,TRUE,TRUE
Carvela,5010600109,5010600109,Carvela Women's Boots Black Leather Studio Strap,https://www.shoeaholics.com/women/shoes/boots/ankle/studio-strap-black-leather-carvela-5010600109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Studio Strap Boot """", 9 Uk, Black","Womens Carvela Studio Strap Boot """", 9 Uk, Black",39.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/0/5010600109.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,18/08/2026,,FALSE,,65,IN STOCK,,,Black,,,977,TRUE,TRUE,TRUE
Kurt Geiger London,4981758999,4981758999,Kurt Geiger London Pom Pom Eagle Charm,https://www.shoeaholics.com/women/accessories/pom-pom-eagle-charm-fushia-combination-others-kurt-geiger-london-4981758999?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Pom Pom Eagle Charm """", No Size, Fushia Combination","Womens Kurt Geiger London Pom Pom Eagle Charm """", No Size, Fushia Combination",39.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/9/4981758999.jpg?v=1&width=800,Women > Accessories,Women > Accessories,18/08/2026,,FALSE,,14,IN STOCK,,,Pink,,,1794,TRUE,TRUE,TRUE
Steve Madden,6163947109,6163947109,Steve Madden La Rue Boot Brown,https://www.shoeaholics.com/women/shoes/boots/la-rue-275-taupe-leather-steve-madden-6163947109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden La Rue Boot Brown """", 7 Uk, Taupe","Womens Steve Madden La Rue Boot Brown """", 7 Uk, Taupe",99.00,220.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/1/6163947109.jpg?v=1&width=800,Women > Shoes > Boots,Women > Shoes > Boots,18/08/2026,,FALSE,,32,IN STOCK,,,Taupe,,,1322,TRUE,TRUE,TRUE
Kurt Geiger London,4396066219,4396066219,Kurt Geiger Women's Trainers Gold Combination Suede Leather Islington,https://www.shoeaholics.com/women/shoes/trainers/islington-sneaker-gold-combination-suede-leather-kurt-geiger-london-4396066219?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Islington Sneaker """", 3 Uk, Gold Combination","Womens Kurt Geiger London Islington Sneaker """", 3 Uk, Gold Combination",49.00,179.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/3/4396066219.jpg?v=1&width=800,Women > Shoes > Trainers,Women > Shoes > Trainers,18/08/2026,,FALSE,,6,IN STOCK,,,Metallic,,,2142,TRUE,TRUE,TRUE
