id,item_group_id,title,link,image_link,price,sale_price,availability,category,isactive,isdefault
JKPRJS13-G01V,JKPRJS132P,Hawes & Curtis Slim Fit Navy Birdseye Suit,http://www.hawesandcurtis.com/slim-fit-navy-birdseye-suit-jkprjs132p-g01v,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPRJS132P-G01V-210161-1400px-1820px.jpg,659.00 USD,,in stock,Formalwear,TRUE,TRUE
5063056791228,COPLI344,Hawes & Curtis Sand Semi Plain Cotton-Wool Blazer - 1913 Collection,http://www.hawesandcurtis.com/sand-semi-plain-cotton-wool-blazer-1913-collection-copli344-h76,https://handcmediastorage.blob.core.windows.net/productimages/CO/COPLI344-H76-202200-1400px-1820px.jpg,699.00 USD,279.00 USD,in stock,Formalwear,TRUE,TRUE
5063056791266,COPLI345,Hawes & Curtis Brick Herringbone Linen-Silk Blend Blazer - 1913 Collection,http://www.hawesandcurtis.com/brick-linen-silk-blend-herringbone-blazer-1913-collection-copli345-i35,https://handcmediastorage.blob.core.windows.net/productimages/CO/COPLI345-I35-202191-1400px-1820px.jpg,699.00 USD,489.00 USD,in stock,Formalwear,TRUE,TRUE
JKPLAA00-A01V,JKPLAA003P,Hawes & Curtis Tailored Fit Black & Grey Morning Suit,http://www.hawesandcurtis.com/mens-black-and-grey-italian-wool-3-piece-morning-suit-1913-collection-jkplaa003p-a01v,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPLAA003P-A01V-214005-1400px-1820px.jpg,1319.00 USD,1029.00 USD,in stock,Formalwear,TRUE,TRUE
5063056899634,JKPRAA54,Hawes & Curtis Tailored Fit Navy Herringbone Slim Suit Jacket,http://www.hawesandcurtis.com/navy-herringbone-wool-tailored-fit-suit-jacket-jkpraa54-g01,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPRAA54-G01-208874-1400px-1820px.jpg,419.00 USD,,in stock,Formalwear,TRUE,TRUE
JKSVJT29-G01V,JKSVJT292P,Hawes & Curtis Tailored Fit Navy Chalk Stripe 1913 Suit,http://www.hawesandcurtis.com/tailored-fit-navy-chalk-stripe-1913-suit-jksvjt292p-g01v,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKSVJT292P-G01V-208576-1400px-1820px.jpg,879.00 USD,,in stock,Formalwear,TRUE,TRUE
5063056576382,TRSRHS52,Hawes & Curtis Slim Fit Dark Blue Pinstripe Suit Pants,http://www.hawesandcurtis.com/dark-blue-pinstripe-slim-suit-trousers-trsrhs52-b34,https://handcmediastorage.blob.core.windows.net/productimages/TR/TRSRHS52-B34-209279-1400px-1820px.jpg,220.00 USD,,in stock,Formalwear,TRUE,TRUE
JKSRHS52-B34V,JKSRHS522P,Hawes & Curtis Slim Fit Dark Blue Pinstripe Suit,http://www.hawesandcurtis.com/dark-blue-pinstripe-slim-suit-jksrhs522p-b34v,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKSRHS522P-B34V-209282-1400px-1820px.jpg,639.00 USD,,in stock,Formalwear,TRUE,TRUE
JKPVKT03-E50V,JKPVKT032P,Hawes & Curtis Tailored Fit Olive 1913 Suit,http://www.hawesandcurtis.com/tailored-fit-olive-1913-suit1-jkpvkt032p-e50v,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPVKT032P-E50V-216699-1400px-1820px.jpg,879.00 USD,,in stock,Formalwear,TRUE,TRUE
5063056943627,COPLJT26,Hawes & Curtis Tailored Fit Wine Twill 1913 Blazer,http://www.hawesandcurtis.com/wine-twill-1913-blazer-copljt26-l30,https://handcmediastorage.blob.core.windows.net/productimages/CO/COPLJT26-L30-206726-1400px-1820px.jpg,599.00 USD,349.00 USD,in stock,Formalwear,TRUE,TRUE
JKSRAA72-B34V,JKSRAA722P,Hawes & Curtis Tailored Fit Dark Blue Pinstripe Suit,http://www.hawesandcurtis.com/dark-blue-pinstripe-wool-tailored-fit-suit-jksraa722p-b34v,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKSRAA722P-B34V-209711-1400px-1820px.jpg,639.00 USD,,in stock,Formalwear,TRUE,TRUE
TRPRHS55-G01V,JKPRHS552P,Hawes & Curtis Slim Fit Navy Sharkskin Suit,http://www.hawesandcurtis.com/navy-sharkskin-slim-suit-jkprhs552p-g01v,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPRHS552P-G01V-211178-1400px-1820px.jpg,639.00 USD,,in stock,Formalwear,TRUE,TRUE
5063056799033,WCPLAA18,Hawes & Curtis Tailored Fit  Navy Birdseye 1913 Waistcoat,http://www.hawesandcurtis.com/tailored-fit-navy-birdseye-1913-waistcoat-wcplaa18-g01,https://handcmediastorage.blob.core.windows.net/productimages/WC/WCPLAA18-G01-216946-1400px-1820px.jpg,260.00 USD,,in stock,Formalwear,TRUE,TRUE
JKPLAA01-F30V,JKPLAA012P,Hawes & Curtis Tailored Fit Charcoal 1913 Morning Suit,http://www.hawesandcurtis.com/mens-charcoal-italian-wool-morning-suit-1913-collection-jkplaa012p-f30v,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPLAA012P-F30V-215126-1400px-1820px.jpg,1059.00 USD,829.00 USD,in stock,Formalwear,TRUE,TRUE
