prclient,prid,pridfiltered,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Kurt Geiger London,6060380609,6060380609,6060380609,southbank large backpack,https://www.kurtgeiger.us/women/bags/backpacks/southbank-lg-backpack-blue-fabric-kurt-geiger-london-6060380609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Large Southbank Backpack is crafted in a blue felt fabric with structure. There are silver trims as well as zipped pocket on the front.&nbsp;38cm (H), 31cm (L), 12cm (D)Strap: 92cmCanvas top handlesD-ring on the shoulder straps'Kurt' branding on the bottomRainbow binding details on the insideCan fit laptops up to 12inchesInner pocket&nbsp;Material: SyntheticStyle number: 6060380609","The Large Southbank Backpack is crafted in a blue felt fabric with structure. There are silver trims as well as zipped pocket on the front.&nbsp;38cm (H), 31cm (L), 12cm (D)Strap: 92cmCanvas top handlesD-ring on the shoulder straps'Kurt' branding on the bottomRainbow binding details on the insideCan fit laptops up to 12inchesInner pocket&nbsp;Material: SyntheticStyle number: 6060380609",278.00,278.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/0/6060380609_20.jpg?v=1&width=800,Womens> Bags>  Backpack,Womens> Bags>  Backpack,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/0/6060380609_20.jpg?v=1&width=800,FALSE,,359,IN STOCK,,,BLUE,,,112,TRUE,TRUE,FALSE
Kurt Geiger London,5963935249,5963935249,5963935249,kensington east west kurt bag,https://www.kurtgeiger.us/women/bags/shoulder-bags/kensington-east-west-kurt-dark-brown-combination-suede-croc-print-kurt-geiger-london-5963935249?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Kensington East West Kurt bag features a large antiqued brass eagle head with crystals sat on the croc embossed suede front flap. There is an antiqued brass KURT branding detail on the base of the bag.13cm (H), 30cm (L), 8cm (D)Strap length: 65cmCan fit phones up to 6inchesGold foil branding detail on the backMaterial: SuedeStyle number: 5963935249","This Kensington East West Kurt bag features a large antiqued brass eagle head with crystals sat on the croc embossed suede front flap. There is an antiqued brass KURT branding detail on the base of the bag.13cm (H), 30cm (L), 8cm (D)Strap length: 65cmCan fit phones up to 6inchesGold foil branding detail on the backMaterial: SuedeStyle number: 5963935249",278.00,278.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/9/5963935249_20.jpg?v=1&width=800,Womens> Bags>  Shoulder,Womens> Bags>  Shoulder,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/9/5963935249_20.jpg?v=1&width=800,FALSE,,359,IN STOCK,,,DARK BROWN COMBINATION,,,113,TRUE,TRUE,FALSE
Kurt Geiger London,5926235019,5926235019,5926235019,celia tote bag,https://www.kurtgeiger.us/women/bags/tote-bags/celia-tote-bag-dark-brown-combination-leather-other-kurt-geiger-london-5926235019?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Celia Tote Bag arrives in a dark brown leather with overstitch quilting design. There is an antiqued silver eagle head sat on the front.30cm (H), 40cm (L), 13cm (D)Strap length: 77cmTwo pop closure pockets on each sideAntiqued brass branded plate on the backCan fit laptops up to 14inchesInterior zipped pocketInterior open pocket&nbsp;Material: Leather&nbsp;Style number: 5926235019","This Celia Tote Bag arrives in a dark brown leather with overstitch quilting design. There is an antiqued silver eagle head sat on the front.30cm (H), 40cm (L), 13cm (D)Strap length: 77cmTwo pop closure pockets on each sideAntiqued brass branded plate on the backCan fit laptops up to 14inchesInterior zipped pocketInterior open pocket&nbsp;Material: Leather&nbsp;Style number: 5926235019",448.00,448.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/9/5926235019_20.jpg?v=1&width=800,Womens> Bags,Womens> Bags,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/9/5926235019_20.jpg?v=1&width=800,FALSE,,165,IN STOCK,,,DARK BROWN COMBINATION,,,196,TRUE,TRUE,FALSE
Kurt Geiger London,5377800109,5377800109,5377800109,mini pimlico bag,https://www.kurtgeiger.us/women/bags/shoulder-bags/mini-pimlico-bag-black-leather-kurt-geiger-london-5377800109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Mini Pimlico Purse arrives in a black leather with two separate compartments. There is an antiqued brass eagle head sat on the front of the purse.4.7in (H), 8.2in (L), 2.3in (D)Strap length: 53.1inBranded fabric cross body strapFlat open pocket on the backInterior zipped pocketCan fit phones up to 6inchesMaterial: LeatherStyle number: 5377800109","This Mini Pimlico Purse arrives in a black leather with two separate compartments. There is an antiqued brass eagle head sat on the front of the purse.4.7in (H), 8.2in (L), 2.3in (D)Strap length: 53.1inBranded fabric cross body strapFlat open pocket on the backInterior zipped pocketCan fit phones up to 6inchesMaterial: LeatherStyle number: 5377800109",248.00,248.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/3/5377800109_20.jpg?v=1&width=800,Womens> Bags>  Purse,Womens> Bags>  Purse,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/3/5377800109_20.jpg?v=1&width=800,FALSE,,120,IN STOCK,,,BLACK,,,220,TRUE,TRUE,FALSE
Kurt Geiger London,5053861109,5053861109,5053861109,shoreditch bifold wallet,https://www.kurtgeiger.us/women/bags/wallets/shoreditch-bifold-wallet-gold-leather-kurt-geiger-london-5053861109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Shoreditch Bifold Wallet is crafted from a metallic gold leather. There is an antiqued brass eagle head on the front above plain embossed branding.8cm (H), 14cm (L), 2cm (D)6 interior card slotsID interior slotEmbossed branding insideMaterial: LeatherStyle number: 5053861109","This Shoreditch Bifold Wallet is crafted from a metallic gold leather. There is an antiqued brass eagle head on the front above plain embossed branding.8cm (H), 14cm (L), 2cm (D)6 interior card slotsID interior slotEmbossed branding insideMaterial: LeatherStyle number: 5053861109",98.00,98.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/0/5053861109_20.jpg?v=1&width=800,Womens> Bags>  Purse,Womens> Bags>  Purse,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/0/5053861109_20.jpg?v=1&width=800,FALSE,,88,IN STOCK,,,Metallic,,,249,TRUE,TRUE,FALSE
Kurt Geiger London,5578800109,5578800109,5578800109,sloane soft shoulder bag,https://www.kurtgeiger.us/women/bags/shoreditch-soft-sh-black-leather-kurt-geiger-london-5578800109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Soft Sloane Shoulder Bag is crafted from a dark brown leather with soft touch. There is an antiqued brass eagle head sat on the front flap and gold foil embossed branding on the base.13cm (H), 25cm (L), 8cm (D)Strap lengths shoulder: 60cmTwo optional shoulder strapsInterior zipped pocketCan fit phones up to 7inchesMaterial: LeatherStyle number: 5578800109","This Soft Sloane Shoulder Bag is crafted from a dark brown leather with soft touch. There is an antiqued brass eagle head sat on the front flap and gold foil embossed branding on the base.13cm (H), 25cm (L), 8cm (D)Strap lengths shoulder: 60cmTwo optional shoulder strapsInterior zipped pocketCan fit phones up to 7inchesMaterial: LeatherStyle number: 5578800109",328.00,328.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/5/5578800109_20.jpg?v=1&width=800,Womens> Bags,Womens> Bags,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/5/5578800109_20.jpg?v=1&width=800,FALSE,,260,IN STOCK,,,BLACK,,,156,TRUE,TRUE,FALSE
Kurt Geiger London,5586400109,5586400109,5586400109,mini oxford bag,https://www.kurtgeiger.us/women/bags/shoulder-bags/leather-mini-oxford-black-leather-kurt-geiger-london-5586400109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Leather Oxford Bag is crafted from a soft black lambskin leather. There is a black metal eagle head with crystals sat on the front flap.10cm (H), 20cm (L), 6cm (D)Strap length cross body: 128cmStrap length shoulder: 55cmOptional leather cross body strapMagnetic flap closure under the flapCan fit phones up to 7inchesMaterial: LeatherStyle number: 5586400109","This Leather Oxford Bag is crafted from a soft black lambskin leather. There is a black metal eagle head with crystals sat on the front flap.10cm (H), 20cm (L), 6cm (D)Strap length cross body: 128cmStrap length shoulder: 55cmOptional leather cross body strapMagnetic flap closure under the flapCan fit phones up to 7inchesMaterial: LeatherStyle number: 5586400109",228.00,228.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/5/5586400109_20.jpg?v=1&width=800,Womens> Bags,Womens> Bags,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/5/5586400109_20.jpg?v=1&width=800,FALSE,,523,IN STOCK,,,BLACK,,,41,TRUE,TRUE,FALSE
Kurt Geiger London,5604957019,5604957019,5604957019,cc holder icecream,https://www.kurtgeiger.us/women/bags/wallets/card-holders/cc-holder-icecream-pink-combination-leather-other-kurt-geiger-london-5604957019?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Ice-Cream Card Holder is crafted from a salmon pink leather. There is a metallic leather ice cream cone motif on the front of the wallet.&nbsp;10cm (H), 7cm (L), 0.5cm (D)Material: LeatherStyle number: 5604957019","This Ice-Cream Card Holder is crafted from a salmon pink leather. There is a metallic leather ice cream cone motif on the front of the wallet.&nbsp;10cm (H), 7cm (L), 0.5cm (D)Material: LeatherStyle number: 5604957019",118.00,118.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/6/5604957019_20.jpg?v=1&width=800,Womens> Bags,Womens> Bags,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/6/5604957019_20.jpg?v=1&width=800,FALSE,,94,IN STOCK,,,Pink,,,241,TRUE,TRUE,FALSE
Kurt Geiger London,4359219689,4359219689,4359219689,small southbank tote bag,https://www.kurtgeiger.us/women/bags/tote-bags/small-southbank-tote-white-other-fabric-other-print-kurt-geiger-london-4359219689?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Small Southbank Tote is crafted in a white canvas fabric with watercolour floral print. There are green trims as well as a gold crystal embellished eagle head on the tab.21cm (H), 26cm (L), 12cm (D)Strap: 90cmCanvas top handlesSemi-transparent 'KURT' branding on the bottomGold zipper pull closure with tab detailSemi-transparent branded patch on the frontTwo side poppers to extend widthInner pocket with two internal lining pocketsMaterial: Fabric / OtherStyle number: 4359219689","The Small Southbank Tote is crafted in a white canvas fabric with watercolour floral print. There are green trims as well as a gold crystal embellished eagle head on the tab.21cm (H), 26cm (L), 12cm (D)Strap: 90cmCanvas top handlesSemi-transparent 'KURT' branding on the bottomGold zipper pull closure with tab detailSemi-transparent branded patch on the frontTwo side poppers to extend widthInner pocket with two internal lining pocketsMaterial: Fabric / OtherStyle number: 4359219689",178.00,178.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/4/3/4359219689_20.jpg?v=1&width=800,Womens> Bags,Womens> Bags,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/4/3/4359219689_20.jpg?v=1&width=800,FALSE,,92,IN STOCK,,,WHITE,,,244,TRUE,TRUE,FALSE
Kurt Geiger London,3526409609,3526409609,3526409609,micro southbank tote bag,https://www.kurtgeiger.us/women/bags/tote-bags/micro-southbank-tote-black-other-fabric-kurt-geiger-london-3526409609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Micro Southbank Tote features the rainbow printed exterior seen across the Southbank collection. There is a metallic pink tag with antiqued silver eagle head on the luggage tag.3.5in (H), 4.3in (L), 1.5in (D)Strap length: 48.4inOptional antiqued silver cross body chain strapCan fit classic credit cards'KURT' logo on the bottomMaterial: CanvasStyle number: 3526409609","This Micro Southbank Tote features the rainbow printed exterior seen across the Southbank collection. There is a metallic pink tag with antiqued silver eagle head on the luggage tag.3.5in (H), 4.3in (L), 1.5in (D)Strap length: 48.4inOptional antiqued silver cross body chain strapCan fit classic credit cards'KURT' logo on the bottomMaterial: CanvasStyle number: 3526409609",128.00,128.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/3/5/3526409609_20.jpg?v=1&width=800,Womens> Bags>  Tote,Womens> Bags>  Tote,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/3/5/3526409609_20.jpg?v=1&width=800,FALSE,,873,IN STOCK,,,BLACK,,,18,TRUE,TRUE,FALSE
