id,item_group_id,title,link,image_link,price,sale_price,availability,category,isactive,isdefault
5063056969191,BEPII009,Hawes & Curtis Caramel Brown Belt,http://www.hawesandcurtis.co.uk/formal-caramel-brown-suede-belt-bepii009-c72,https://handcmediastorage.blob.core.windows.net/productimages/BE/BEPII009-C72-200575-1400px-1820px.jpg,59.00 GBP,29.00 GBP,in stock,Accessories,TRUE,TRUE
5059090790525,CUPMA012,Hawes & Curtis 100% Silk Navy Plain Cummerbund,http://www.hawesandcurtis.co.uk/100percent-silk-navy-plain-cummerbund-cupma012-g01,https://handcmediastorage.blob.core.windows.net/productimages/CU/CUPMA012-G01-191479-1400px-1820px.jpg,39.00 GBP,15.00 GBP,in stock,Accessories,TRUE,TRUE
5063755167461,TIDMK302,Hawes & Curtis Sky Blue Tonal Stripe Tie,http://www.hawesandcurtis.co.uk/sky-blue-tonal-stripe-tie-tidmk302-b53,https://handcmediastorage.blob.core.windows.net/productimages/TI/TIDMK302-B53-211724-1400px-1820px.jpg,39.00 GBP,12.00 GBP,in stock,Accessories,TRUE,TRUE
5063755167553,TIDMK304,Hawes & Curtis Sage Green Regatta Stripe Tie,http://www.hawesandcurtis.co.uk/sage-green-regatta-stripe-tie-tidmk304-z83,https://handcmediastorage.blob.core.windows.net/productimages/TI/TIDMK304-Z83-211753-1400px-1820px.jpg,39.00 GBP,19.00 GBP,in stock,Accessories,TRUE,TRUE
5063755167577,HAPMA250,Hawes & Curtis Duck Egg Blue Plain Repp Pocket Square,http://www.hawesandcurtis.co.uk/duck-egg-blue-plain-repp-pocket-square-hapma250-z76,https://handcmediastorage.blob.core.windows.net/productimages/HA/HAPMA250-Z76-211770-1400px-1820px.jpg,25.00 GBP,19.00 GBP,in stock,Accessories,TRUE,TRUE
5063755025761,TIDDJ962,Hawes & Curtis Navy Square Grenadine 1913 Tie,http://www.hawesandcurtis.co.uk/navy-square-grenadine-1913-tie-tiddj962-g01,https://handcmediastorage.blob.core.windows.net/productimages/TI/TIDDJ962-G01-205927-1400px-1820px.jpg,49.00 GBP,19.00 GBP,in stock,Accessories,TRUE,TRUE
5063755026157,TIDDJ965,Hawes & Curtis Blue Jacquard Geo 1913 Tie,http://www.hawesandcurtis.co.uk/blue-jacquard-geo-1913-tie-tiddj965-b01,https://handcmediastorage.blob.core.windows.net/productimages/TI/TIDDJ965-B01-205935-1400px-1820px.jpg,59.00 GBP,29.00 GBP,in stock,Accessories,TRUE,TRUE
5063056769425,TIDMA864,Hawes & Curtis Dusty Pink & Navy Stripe Repp Tie - 100% Silk,http://www.hawesandcurtis.co.uk/dusty-pink-and-navy-stripe-repp-tie-100percent-silk-tidma864-j14,https://handcmediastorage.blob.core.windows.net/productimages/TI/TIDMA864-J14-207478-1400px-1820px.jpg,39.00 GBP,12.00 GBP,in stock,Accessories,TRUE,TRUE
5063056811995,OEPPA001,Hawes & Curtis Tan Oxford Shoe,http://www.hawesandcurtis.co.uk/tan-leather-oxford-shoe-oeppa001-z03,https://handcmediastorage.blob.core.windows.net/productimages/OE/OEPPA001-Z03-199965-1400px-1820px.jpg,169.00 GBP,139.00 GBP,in stock,Footwear,TRUE,TRUE
5063755025020,TIDBI902,Hawes & Curtis Silver Ornate Medallion Geo 1913 Tie,http://www.hawesandcurtis.co.uk/silver-ornate-medallion-geo-1913-tie-tidbi902-m01,https://handcmediastorage.blob.core.windows.net/productimages/TI/TIDBI902-M01-207214-1400px-1820px.jpg,49.00 GBP,19.00 GBP,in stock,Accessories,TRUE,TRUE
