prclient,prid,pridfiltered,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Kurt Geiger London,5851332209,5851332209,5851332209,Kurt Geiger Women's Boots Mid Brown Suede Fringe Gaiter,https://www.kurtgeiger.com/women/shoes/boots/flat-boots/fringe-gaiter-biker-mid-brown-suede-kurt-geiger-london-5851332209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Fringe Gaiter Biker boot is crafted from a mid brown suede leather. There is a loop detail and fringe detail at the back of the ankle.&nbsp;Material: SuedeStyle number: 5851332209,This Fringe Gaiter Biker boot is crafted from a mid brown suede leather. There is a loop detail and fringe detail at the back of the ankle.&nbsp;Material: SuedeStyle number: 5851332209,369.00,369.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5851332209_20.jpg?v=1&width=800,Women > Shoes > Boots > Flat-boots,Women > Shoes > Boots > Flat-boots,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5851332209_20.jpg?v=1&width=800,TRUE,,71,IN STOCK,,,Brown,,,52,TRUE,TRUE,FALSE
Kurt Geiger London,5586600019,5586600019,5586600019,Kurt Geiger Women's Shoulder Black Leather Other Kurt,https://www.kurtgeiger.com/women/bags/shoulder-bags/kurt-sling-black-leather-other-kurt-geiger-london-5586600019?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Kurt Shoulder Bag is crafted from a black crinkled leather with overstitch quilting. There is a black eagle head sat on the front of the bag above gold foil branding.&nbsp;12cm (H), 23cm (L), 8cm (D)Strap length: 43cmBlack Kurt branding on the top handle&nbsp;Can fit phones up to 6inchesMaterial: LeatherStyle number: 5586600019&nbsp;","This Kurt Shoulder Bag is crafted from a black crinkled leather with overstitch quilting. There is a black eagle head sat on the front of the bag above gold foil branding.&nbsp;12cm (H), 23cm (L), 8cm (D)Strap length: 43cmBlack Kurt branding on the top handle&nbsp;Can fit phones up to 6inchesMaterial: LeatherStyle number: 5586600019&nbsp;",149.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/5/5586600019_20.jpg?v=1&width=800,Women > Bags > Shoulder-bags,Women > Bags > Shoulder-bags,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/5/5586600019_20.jpg?v=1&width=800,TRUE,,171,IN STOCK,,,Black,,,27,TRUE,TRUE,FALSE
Kurt Geiger London,6059900019,6059900019,6059900019,Kurt Geiger London Celia Xl Shoulder Bag Drench - Black Leather Overstitch Shoulder Bag,https://www.kurtgeiger.com/women/bags/shoulder-bags/celia-xl-shoulder-bag-dr-black-leather-other-kurt-geiger-london-6059900019?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Extra Large Celia Shoulder Bag is crafted from a black crinkled leather with overstitch quilted detail. There is a black eagle head on the front flap.24cm (H), 39cm (L), 12cm (D)Strap length: 67cmBlack leather shoulder strapBlack chain strap detailCan fit laptops up to 14inchesBlack branded plate on the backMaterial: LeatherStyle number: 6059900019","This Extra Large Celia Shoulder Bag is crafted from a black crinkled leather with overstitch quilted detail. There is a black eagle head on the front flap.24cm (H), 39cm (L), 12cm (D)Strap length: 67cmBlack leather shoulder strapBlack chain strap detailCan fit laptops up to 14inchesBlack branded plate on the backMaterial: LeatherStyle number: 6059900019",369.00,369.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/0/6059900019_20.jpg?v=1&width=800,Women > Bags > Shoulder-bags,Women > Bags > Shoulder-bags,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/0/6059900019_20.jpg?v=1&width=800,TRUE,,174,IN STOCK,,,Black,,,25,TRUE,TRUE,FALSE
Kurt Geiger London,6084500109,6084500109,6084500109,Kurt Geiger Women's Boots Black Leather Eagle Harness,https://www.kurtgeiger.com/women/shoes/boots/flat-boots/eagles-harness-biker-black-leather-kurt-geiger-london-6084500109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,The harness style strap on the Eagle Biker boot is finished with multiple sized eagle heads in individual hardwares.&nbsp;Material: BlackStyle number: 6084500109,The harness style strap on the Eagle Biker boot is finished with multiple sized eagle heads in individual hardwares.&nbsp;Material: BlackStyle number: 6084500109,299.00,299.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/0/6084500109_20.jpg?v=1&width=800,Women > Shoes > Boots > Flat-boots,Women > Shoes > Boots > Flat-boots,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/0/6084500109_20.jpg?v=1&width=800,TRUE,,102,IN STOCK,,,Black,,,46,TRUE,TRUE,FALSE
Kurt Geiger London,6132846189,6132846189,6132846189,Kurt Geiger Women's Boots Camel Other Leather Other Candy,https://www.kurtgeiger.com/women/shoes/boots/ankle/candy-gater-boot-camel-other-leather-other-print-kurt-geiger-london-6132846189?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Arriving in a modern gaitor style, this Annabel Boot features a leopard printed calfhair leather upper.&nbsp;Heel height: 9cmMaterial: LeatherStyle number: 6132846189","Arriving in a modern gaitor style, this Annabel Boot features a leopard printed calfhair leather upper.&nbsp;Heel height: 9cmMaterial: LeatherStyle number: 6132846189",219.00,219.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6132846189_20.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6132846189_20.jpg?v=1&width=800,TRUE,,93,IN STOCK,,,Tan,,,48,TRUE,TRUE,FALSE
Kurt Geiger London,6148735289,6148735289,6148735289,Kurt Geiger Women's Trainers Dark Brown Combination Suede Lather Southbank,https://www.kurtgeiger.com/women/shoes/sneakers/southbank-tag-slim-dark-brown-combination-suede-other-print-kurt-geiger-london-6148735289?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Southbank Tag sneaker sits on a slimmer brown sole with intricate quilting detail. The upper is crafted from a leopard printed suede leather with black crystal embellishment. An antiqued silver eagle head sits on the brown suede leather branded tab.This style fits small, we recommend sizing upMaterial: Suede leatherStyle number: 6148735289","This Southbank Tag sneaker sits on a slimmer brown sole with intricate quilting detail. The upper is crafted from a leopard printed suede leather with black crystal embellishment. An antiqued silver eagle head sits on the brown suede leather branded tab.This style fits small, we recommend sizing upMaterial: Suede leatherStyle number: 6148735289",159.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6148735289_20.jpg?v=1&width=800,Women > Shoes > Sneakers,Women > Shoes > Sneakers,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6148735289_20.jpg?v=1&width=800,TRUE,,127,IN STOCK,,,Dark Brown Combination,,,38,TRUE,TRUE,FALSE
Kurt Geiger London,6194486669,6194486669,6194486669,Kurt Geiger Women's Boots Blue Pale Combination Denim,https://www.kurtgeiger.com/women/shoes/boots/knee-boots/gaiter-fringe-cowboy-blue-pale-combination-denim-kurt-geiger-london-6194486669?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Albany Fringe Cowboy boot is crafted from a paisley printed denim fabric with ruched ankle. There is a tan suede leather fringe detail running down the side of the ankle shaft.Heel height: 5cmMaterial: DenimStyle number: 6194486669,This Albany Fringe Cowboy boot is crafted from a paisley printed denim fabric with ruched ankle. There is a tan suede leather fringe detail running down the side of the ankle shaft.Heel height: 5cmMaterial: DenimStyle number: 6194486669,279.00,279.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6194486669_20.jpg?v=1&width=800,Women > Shoes > Boots > Knee-boots,Women > Shoes > Boots > Knee-boots,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6194486669_20.jpg?v=1&width=800,TRUE,,84,IN STOCK,,,Blue,,,49,TRUE,TRUE,FALSE
Kurt Geiger London,6306739289,6306739289,6306739289,Kurt Geiger Women's Boots Brown Other Suede Other Chelsea,https://www.kurtgeiger.com/women/shoes/boots/ankle/perf-ankle-chelsea-brown-other-suede-other-print-kurt-geiger-london-6306739289?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Perf Ankle Chelsea Boot is crafted from a brown leopard printed suede leather. There is a black elasticated panel on the ankle.&nbsp;Material: SuedeStyle number: 6306739289,This Perf Ankle Chelsea Boot is crafted from a brown leopard printed suede leather. There is a black elasticated panel on the ankle.&nbsp;Material: SuedeStyle number: 6306739289,249.00,249.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/3/6306739289_20.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/3/6306739289_20.jpg?v=1&width=800,TRUE,,109,IN STOCK,,,Brown,,,42,TRUE,TRUE,FALSE
Kurt Geiger London,6149600609,6149600609,6149600609,Kurt Geiger Women's Boots Black Fabric Stomp Sock,https://www.kurtgeiger.com/women/shoes/boots/ankle/stomp-sock-ankle-black-fabric-kurt-geiger-london-6149600609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,The Stomp Sock Ankle boot is crafted from an elasticated black fabric with ribbed texture. There is a zip closure on the inner side of the ankle.&nbsp;Heel height: 5cmMaterial: FabricStyle number: 6149600609,The Stomp Sock Ankle boot is crafted from an elasticated black fabric with ribbed texture. There is a zip closure on the inner side of the ankle.&nbsp;Heel height: 5cmMaterial: FabricStyle number: 6149600609,169.00,169.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6149600609_20.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6149600609_20.jpg?v=1&width=800,TRUE,,270,IN STOCK,,,Black,,,12,TRUE,TRUE,FALSE
Kurt Geiger London,8885588669,8885588669,8885588669,Kurt Geiger London Women's Cross Body Bag Fabric Denim Mini Kensington,https://www.kurtgeiger.com/women/bags/mini/mini-kensington-soft-bag-denim-denim-kurt-geiger-london-8885588669?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Mini Kensington bag is crafted from an acid wash denim in weave print. The antiqued brass eagle head features crystals on the front flap.14cm (H), 20cm (L), 6cm (D)Strap drop cross body: 120cmStrap drop shoulder: 70cmAntiqued brass chain strapDuo magnetic snap closure hidden under flapAntiqued brass branded metal plate on the backCan fit phones up to 7 inchesSmall internal lining pocketMaterial: DenimInterior: Monogrammed interior liningStyle number: 8885588669","This Mini Kensington bag is crafted from an acid wash denim in weave print. The antiqued brass eagle head features crystals on the front flap.14cm (H), 20cm (L), 6cm (D)Strap drop cross body: 120cmStrap drop shoulder: 70cmAntiqued brass chain strapDuo magnetic snap closure hidden under flapAntiqued brass branded metal plate on the backCan fit phones up to 7 inchesSmall internal lining pocketMaterial: DenimInterior: Monogrammed interior liningStyle number: 8885588669",129.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/8/8/8885588669_20.jpg?v=1&width=800,Women > Bags > Mini,Women > Bags > Mini,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/8/8/8885588669_20.jpg?v=1&width=800,TRUE,,646,IN STOCK,,,Blue,,,5,TRUE,TRUE,FALSE
