prclient,prid,prid_filtered,pridfiltered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Kurt Geiger London,5991133209,5991133209,5991133209,Kurt Geiger Women's Trainer Suede Tan Slim Runner,https://www.shoeaholics.com/women/shoes/trainers/k-slim-runner-tan-suede-kurt-geiger-london-5991133209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Tan Suede Leather Slim Runner, Tan","Tan Suede Leather Slim Runner, Tan",59.00,199.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/9/5991133209.jpg?v=1&width=800,Women > Shoes > Trainers,Women > Shoes > Trainers,11/09/2026,,FALSE,,7,IN STOCK,,,Tan,,,240,TRUE,TRUE,TRUE
Carvela,2772747979,2772747979,2772747979,Carvela Women's Trainer Taupe Synthetic Daze,https://www.shoeaholics.com/women/shoes/trainers/slip-on/daze-weave-taupe-synthetic-carvela-2772747979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Taupe Woven Trainer, Taupe","Taupe Woven Trainer, Taupe",69.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/2/7/2772747979.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,11/09/2026,,FALSE,,34,IN STOCK,,,Taupe,,,159,TRUE,TRUE,TRUE
Kurt Geiger London,9876688169,9876688169,9876688169,Kurt Geiger Women's Trainers White Blue Other Lane Love,https://www.shoeaholics.com/women/shoes/trainers/slip-on/kgl-lane-love-denim-leather-fabric-kurt-geiger-london-9876688169?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Denim Blue Heart Sneaker, Denim","Denim Blue Heart Sneaker, Denim",39.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/9/8/9876688169.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,11/09/2026,,FALSE,,6,IN STOCK,,,Blue,,,249,TRUE,TRUE,TRUE
Kg Kurt Geiger,5712544829,5712544829,5712544829,KG Kurt Geiger Women's Trainers Bone Combination Lillian,https://www.shoeaholics.com/women/shoes/trainers/slip-on/lillian-mesh-bone-combination-polyurethane-kg-kurt-geiger-5712544829?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"White Textured Lace Up Sneaker, Bone Combination","White Textured Lace Up Sneaker, Bone Combination",89.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/7/5712544829.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,11/09/2026,,FALSE,,49,IN STOCK,,,White,,,144,TRUE,TRUE,TRUE
Steve Madden,5865605609,5865605609,5865605609,Steve Madden Sedgwick Black,https://www.shoeaholics.com/women/shoes/trainers/sedgwick-081-black-combination-fabric-steve-madden-5865605609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Sedgwick Black """", 4 Uk, Black","Womens Steve Madden Sedgwick Black """", 4 Uk, Black",59.00,140.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/8/5865605609.jpg?v=1&width=800,Women > Shoes > Trainers,Women > Shoes > Trainers,11/09/2026,,FALSE,,6,IN STOCK,,,Black,,,250,TRUE,TRUE,TRUE
Carvela,5285100069,5285100069,5285100069,Carvela Women's Trainers Black Synthetic Tempo,https://www.shoeaholics.com/women/shoes/trainers/tempo-elastic-black-fabric-other-carvela-5285100069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Crystal Trainer, Black","Black Crystal Trainer, Black",29.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/2/5285100069.jpg?v=1&width=800,Women > Shoes > Trainers,Women > Shoes > Trainers,11/09/2026,,FALSE,,8,IN STOCK,,,Black,,,229,TRUE,TRUE,TRUE
Kurt Geiger London,5754383129,5754383129,5754383129,Kurt Geiger Women's Trainers Blue Pale Leather Bromley,https://www.shoeaholics.com/women/shoes/trainers/bromley-sneaker-pale-blue-leather-suede-kurt-geiger-london-5754383129?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Bromley Sneaker """", 6 Uk, Pale Blue","Womens Kurt Geiger London Bromley Sneaker """", 6 Uk, Pale Blue",129.00,189.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/7/5754383129.jpg?v=1&width=800,Women > Shoes > Trainers,Women > Shoes > Trainers,11/09/2026,,FALSE,,49,IN STOCK,,,Blue,,,145,TRUE,TRUE,TRUE
Carvela,5008784029,5008784029,5008784029,Carvela Women's Trainers Navy Suede Other Synthetic Presto,https://www.shoeaholics.com/women/shoes/trainers/presto-navy-suede-other-carvela-5008784029?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Presto Trainer """", 3 Uk, Navy","Womens Carvela Presto Trainer """", 3 Uk, Navy",39.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/0/5008784029.jpg?v=1&width=800,Women > Shoes > Trainers,Women > Shoes > Trainers,11/09/2026,,FALSE,,19,IN STOCK,,,Blue,,,179,TRUE,TRUE,TRUE
Carvela,5473041629,5473041629,5473041629,Carvela Women's Trainer Bone Fabric Suede Tempo,https://www.shoeaholics.com/women/shoes/trainers/slip-on/tempo-jewel-bone-fabric-suede-carvela-5473041629?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"White Embellished Slip On Trainers, Bone","White Embellished Slip On Trainers, Bone",39.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/4/5473041629.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,11/09/2026,,FALSE,,11,IN STOCK,,,White,,,212,TRUE,TRUE,TRUE
Kg Kurt Geiger,5702005019,5702005019,5702005019,KG Kurt Geiger Women's Trainers Black Combination Leather Other Lennon,https://www.shoeaholics.com/women/shoes/trainers/lennon-black-combination-leather-other-kg-kurt-geiger-5702005019?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Lizard Embossed Lace Up Sneaker, Black","Lizard Embossed Lace Up Sneaker, Black",49.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/7/5702005019.jpg?v=1&width=800,Women > Shoes > Trainers,Women > Shoes > Trainers,11/09/2026,,FALSE,,8,IN STOCK,,,Black,,,230,TRUE,TRUE,TRUE
Kurt Geiger London,5294709629,5294709629,5294709629,Kurt Geiger London Chelsea Crystal Tag Sneaker,https://www.shoeaholics.com/women/shoes/trainers/chelsea-crystal-tag-black-other-fabric-suede-kurt-geiger-london-5294709629?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Chelsea Crystal Tag Sneaker """", 3 Uk","Womens Kurt Geiger London Chelsea Crystal Tag Sneaker """", 3 Uk",69.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/2/5294709629.jpg?v=1&width=800,Women > Shoes > Trainers,Women > Shoes > Trainers,11/09/2026,,FALSE,,11,IN STOCK,,,,,,213,TRUE,TRUE,TRUE
Carvela,0865066979,0865066979,0865066979,Carvela Women's Trainers Gold Combination Jive Zip,https://www.shoeaholics.com/women/shoes/trainers/slip-on/jive-zip-gold-combination-synthetic-carvela-0865066979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Jive Zip Trainer """", 9 Uk, Gold Combination","Womens Carvela Jive Zip Trainer """", 9 Uk, Gold Combination",39.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/0/8/0865066979.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,11/09/2026,,FALSE,,15,IN STOCK,,,Metallic,,,192,TRUE,TRUE,TRUE
Kg Kurt Geiger,4238730069,4238730069,4238730069,KG Kurt Geiger Women's Trainers Brown Fabric Other Luster,https://www.shoeaholics.com/women/shoes/trainers/luster-brown-fabric-other-kg-kurt-geiger-4238730069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Brown Fabric Other Luster, Brown","Brown Fabric Other Luster, Brown",49.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/2/4238730069.jpg?v=1&width=800,Women > Shoes > Trainers,Women > Shoes > Trainers,11/09/2026,,FALSE,,9,IN STOCK,,,Brown,,,225,TRUE,TRUE,TRUE
Steve Madden,6171461609,6171461609,6171461609,Steve Madden Setback-r 045,https://www.shoeaholics.com/women/shoes/trainers/setback-r-045-gold-fabric-steve-madden-6171461609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Setback-R 045 """", 3 Uk, Gold","Womens Steve Madden Setback-R 045 """", 3 Uk, Gold",69.00,140.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/1/6171461609.jpg?v=1&width=800,Women > Shoes > Trainers,Women > Shoes > Trainers,11/09/2026,,FALSE,,6,IN STOCK,,,Metallic,,,251,TRUE,TRUE,TRUE
Steve Madden,6348775979,6348775979,6348775979,Steve Madden Emporia Gmu,https://www.shoeaholics.com/women/shoes/trainers/emporia-gmu-green-combination-synthetic-steve-madden-6348775979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Emporia Gmu """", 5 Uk, Green Combination","Womens Steve Madden Emporia Gmu """", 5 Uk, Green Combination",59.00,100.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/3/6348775979.jpg?v=1&width=800,Women > Shoes > Trainers,Women > Shoes > Trainers,11/09/2026,,FALSE,,8,IN STOCK,,,Green,,,231,TRUE,TRUE,TRUE
Kurt Geiger London,5064379619,5064379619,5064379619,Kurt Geiger Women's Trainers Green Other Leather Kurt Runner,https://www.shoeaholics.com/women/shoes/trainers/kurt-runner-green-other-fabric-leather-kurt-geiger-london-5064379619?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Kurt Runner Sneaker """", 2 Uk","Womens Kurt Geiger London Kurt Runner Sneaker """", 2 Uk",89.00,199.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/0/5064379619.jpg?v=1&width=800,Women > Shoes > Trainers,Women > Shoes > Trainers,11/09/2026,,FALSE,,8,IN STOCK,,,,,,232,TRUE,TRUE,TRUE
Steve Madden,9889500979,9889500979,9889500979,Steve Madden Match Trainer Black,https://www.shoeaholics.com/women/shoes/trainers/match-e-184-black-synthetic-steve-madden-9889500979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Match Trainer Black """", 7 Uk, Black","Womens Steve Madden Match Trainer Black """", 7 Uk, Black",49.00,100.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/9/8/9889500979.jpg?v=1&width=800,Women > Shoes > Trainers,Women > Shoes > Trainers,11/09/2026,,FALSE,,17,IN STOCK,,,Black,,,184,TRUE,TRUE,TRUE
