id,item_group_id,title,link,image_link,price,sale_price,availability,isactive,isdefault
5063755223099,CFPRA001,Hawes & Curtis Classic Fit Blue Twill Non-Iron Shirt - Short Sleeve - Chest Pocket,http://www.hawesandcurtis.co.uk/tailored-fit-blue-twill-non-iron-shirt-short-sleeve-chest-pocket-cfpra001-b01,https://handcmediastorage.blob.core.windows.net/productimages/CF/CFPRA001-B01-216671-1400px-1820px.jpg,69.00 GBP,,in stock,TRUE,TRUE
5063755004346,EYVRJ002,Hawes & Curtis Extra Slim Fit Lilac & White Textured Weave Non-Iron Shirt,http://www.hawesandcurtis.co.uk/extra-slim-fit-lilac-and-white-textured-weave-non-iron-shirt1-eyvrj002-k44,https://handcmediastorage.blob.core.windows.net/productimages/EY/EYVRJ002-K44-208133-1400px-1820px.jpg,69.00 GBP,25.00 GBP,in stock,TRUE,TRUE
5063056825145,EYVRI002,Hawes & Curtis Extra Slim Fit Lilac & White Textured Weave Non-Iron Shirt,http://www.hawesandcurtis.co.uk/non-iron-lilac-and-white-textured-weave-extra-slim-fit-shirt-windsor-collar-eyvri002-k44,https://handcmediastorage.blob.core.windows.net/productimages/EY/EYVRI002-K44-196756-1400px-1820px.jpg,69.00 GBP,25.00 GBP,in stock,TRUE,TRUE
5052361384133,WWPGA120,Hawes & Curtis Classic Fit White Shirt,http://www.hawesandcurtis.co.uk/white-classic-shirt-double-cuffs-wwpga120-n01,https://handcmediastorage.blob.core.windows.net/productimages/WW/WWPGA120-N01-159616-1400px-1820px.jpg,65.00 GBP,,in stock,TRUE,TRUE
5063755174124,ELSRK001,Hawes & Curtis Extra Slim Fit Blue & White Twill Herringbone Stripe Non-Iron Shirt,http://www.hawesandcurtis.co.uk/extra-slim-fit-blue-and-white-herringbone-stripe-non-iron-shirt-elsrk001-b04,https://handcmediastorage.blob.core.windows.net/productimages/EL/ELSRK001-B04-214192-1400px-1820px.jpg,69.00 GBP,,in stock,TRUE,TRUE
5063056773668,CFPRI002,Hawes & Curtis Tailored Fit Blue Textured Weave Non-Iron Shirt - Short Sleeve - Chest Pocket,http://www.hawesandcurtis.co.uk/non-iron-blue-textured-weave-tailored-short-sleeve-shirt-chest-pocket-cfpri002-b01,https://handcmediastorage.blob.core.windows.net/productimages/CF/CFPRI002-B01-200719-1400px-1820px.jpg,69.00 GBP,25.00 GBP,in stock,TRUE,TRUE
5063056773774,CFCRI003,Hawes & Curtis Tailored Fit Blue & Red Check Non-Iron Shirt - Short Sleeve - Chest Pocket,http://www.hawesandcurtis.co.uk/non-iron-blue-and-red-check-tailored-short-sleeve-shirt-chest-pocket-cfcri003-b12,https://handcmediastorage.blob.core.windows.net/productimages/CF/CFCRI003-B12-200696-1400px-1820px.jpg,69.00 GBP,25.00 GBP,in stock,TRUE,TRUE
5063755224980,SDSRK002,Hawes & Curtis Extra Slim Fit Pink Herringbone Stripe Non-Iron Shirt - Contrast Detail,http://www.hawesandcurtis.co.uk/extra-slim-fit-pink-herringbone-stripe-non-iron-shirt-contrast-detail-sdsrk002-j01,https://handcmediastorage.blob.core.windows.net/productimages/SD/SDSRK002-J01-216229-1400px-1820px.jpg,69.00 GBP,,in stock,TRUE,TRUE
5054066392901,SSPJA222,Hawes & Curtis Slim Fit White Herringbone Shirt,http://www.hawesandcurtis.co.uk/white-herringbone-slim-shirt-sspja222-n01,https://handcmediastorage.blob.core.windows.net/productimages/SS/SSPJA222-N01-214901-1400px-1820px.jpg,65.00 GBP,,in stock,TRUE,TRUE
5059090481607,ELPGA120,Hawes & Curtis Extra Slim Fit Blue Poplin Shirt,http://www.hawesandcurtis.co.uk/blue-poplin-extra-slim-shirt-windsor-collar-elpga120-b01,https://handcmediastorage.blob.core.windows.net/productimages/EL/ELPGA120-B01-182332-1400px-1820px.jpg,65.00 GBP,25.00 GBP,in stock,TRUE,TRUE
5063056887952,BFDZI027,Hawes & Curtis Slim Fit White & Navy Floral Diamond Weave Curtis Shirt,http://www.hawesandcurtis.co.uk/white-and-navy-floral-diamond-weave-slim-curtis-shirt-mid-collar-bfdzi027-n15,https://handcmediastorage.blob.core.windows.net/productimages/BF/BFDZI027-N15-200657-1400px-1820px.jpg,69.00 GBP,25.00 GBP,in stock,TRUE,TRUE
5063755227950,SYCRK021,Hawes & Curtis Slim Fit Navy & Pink Check Non-Iron Shirt - Contrast Detail,http://www.hawesandcurtis.co.uk/slim-fit-navy-and-pink-multi-check-non-iron-shirt-contrast-detail1-sycrk021-g15,https://handcmediastorage.blob.core.windows.net/productimages/SY/SYCRK021-G15-216230-1400px-1820px.jpg,69.00 GBP,25.00 GBP,in stock,TRUE,TRUE
5063056441437,CGCRG008,Hawes & Curtis Slim Fit Red & Blue Check Non-Iron Shirt - Short Sleeve,http://www.hawesandcurtis.co.uk/non-iron-red-and-blue-multi-check-slim-fit-short-sleeve-shirt-cgcrg008-l03,https://handcmediastorage.blob.core.windows.net/productimages/CG/CGCRG008-L03-185679-1400px-1820px.jpg,69.00 GBP,25.00 GBP,in stock,TRUE,TRUE
5063755069703,SYSRK004,Hawes & Curtis Slim Fit Navy & White Bengal Stripe Twill Non-Iron Shirt,http://www.hawesandcurtis.co.uk/slim-fit-navy-and-white-bengal-stripe-non-iron-shirt-sysrk004-g17,https://handcmediastorage.blob.core.windows.net/productimages/SY/SYSRK004-G17-210390-1400px-1820px.jpg,69.00 GBP,25.00 GBP,in stock,TRUE,TRUE
5054066392529,SSPGA220,Hawes & Curtis Slim Fit White Poplin Shirt,http://www.hawesandcurtis.co.uk/white-poplin-slim-shirt1-sspga220-n01,https://handcmediastorage.blob.core.windows.net/productimages/SS/SSPGA220-N01-190841-1400px-1820px.jpg,65.00 GBP,,in stock,TRUE,TRUE
5063755009334,WYVRJ002,Hawes & Curtis Classic Fit Lilac & White Textured Weave Non-Iron Shirt,http://www.hawesandcurtis.co.uk/classic-fit-lilac-and-white-textured-weave-non-iron-shirt1-wyvrj002-k44,https://handcmediastorage.blob.core.windows.net/productimages/WY/WYVRJ002-K44-210349-1400px-1820px.jpg,69.00 GBP,25.00 GBP,in stock,TRUE,TRUE
