prclient,prid,prid_filtered,pridfiltered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Carvela,5264400979,5264400979,5264400979,Carvela Women's Black Synthetic Refined Court,https://www.shoeaholics.com/women/shoes/heels/high-heels/refined-court-wide-fit-black-synthetic-carvela-5264400979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Wide Fit Black Court Heel, Black","Wide Fit Black Court Heel, Black",79.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/2/5264400979.jpg?v=1&width=800,Women > Shoes > Heels > High-heels,Women > Shoes > Heels > High-heels,10/09/2026,,FALSE,,78,IN STOCK,,,Black,,,128,TRUE,TRUE,TRUE
Kg Kurt Geiger,5749361829,5749361829,5749361829,KG Kurt Geiger Women's Heels Gold Synthetic Soraya,https://www.shoeaholics.com/women/shoes/heels/high-heels/soraya-gold-polyurethane-kg-kurt-geiger-5749361829?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Metallic High Heel, Gold","Metallic High Heel, Gold",69.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/7/5749361829.jpg?v=1&width=800,Women > Shoes > Heels > High-heels,Women > Shoes > Heels > High-heels,10/09/2026,,FALSE,,40,IN STOCK,,,Metallic,,,173,TRUE,TRUE,TRUE
Carvela,5893510609,5893510609,5893510609,CORLETTA HEEL,https://www.shoeaholics.com/women/shoes/heels/low-mid-heels/corletta-sandal-white-fabric-carvela-5893510609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Silver Faux Pearl High Heel, White","Silver Faux Pearl High Heel, White",89.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/8/5893510609.jpg?v=1&width=800,Women > Shoes > Heels > Low-mid-heels,Women > Shoes > Heels > Low-mid-heels,10/09/2026,,FALSE,,295,IN STOCK,,,White,,,12,TRUE,TRUE,TRUE
Carvela,5823530209,5823530209,5823530209,Carvela Women's Sandals Brown Suede Novella,https://www.shoeaholics.com/women/shoes/heels/low-mid-heels/novella-mule-brown-suede-carvela-5823530209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Novella Mule Heel """", 8 Uk, Brown","Womens Carvela Novella Mule Heel """", 8 Uk, Brown",99.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/8/5823530209.jpg?v=1&width=800,Women > Shoes > Heels > Low-mid-heels,Women > Shoes > Heels > Low-mid-heels,10/09/2026,,FALSE,,9,IN STOCK,,,Brown,,,277,TRUE,TRUE,TRUE
Carvela,5945010609,5945010609,5945010609,Carvela Women's Heels White Fabric Silvia,https://www.shoeaholics.com/women/shoes/heels/low-mid-heels/silvia-mule-white-fabric-carvela-5945010609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Silvia Mule Heel """", 9 Uk, White","Womens Carvela Silvia Mule Heel """", 9 Uk, White",89.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/9/5945010609.jpg?v=1&width=800,Women > Shoes > Heels > Low-mid-heels,Women > Shoes > Heels > Low-mid-heels,10/09/2026,,FALSE,,159,IN STOCK,,,White,,,71,TRUE,TRUE,TRUE
Kurt Geiger London,5998061609,5998061609,5998061609,Kurt Geiger Women's Heels Gold Fabric Square Block Heel,https://www.shoeaholics.com/women/shoes/heels/low-mid-heels/square-block-heel-gold-fabric-kurt-geiger-london-5998061609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Gold Fabric Block Heel, Gold","Gold Fabric Block Heel, Gold",109.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/9/5998061609.jpg?v=1&width=800,Women > Shoes > Heels > Low-mid-heels,Women > Shoes > Heels > Low-mid-heels,10/09/2026,,FALSE,,223,IN STOCK,,,Metallic,,,24,TRUE,TRUE,TRUE
Kg Kurt Geiger,6320900069,6320900069,6320900069,Kg Kurt Geiger Autumn Mule Heel,https://www.shoeaholics.com/women/shoes/heels/low-mid-heels/autumn-mule-black-fabric-other-kg-kurt-geiger-6320900069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kg Kurt Geiger Autumn Mule Heel """", 5 Uk, Black","Womens Kg Kurt Geiger Autumn Mule Heel """", 5 Uk, Black",79.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/3/6320900069.jpg?v=1&width=800,Women > Shoes > Heels > Low-mid-heels,Women > Shoes > Heels > Low-mid-heels,10/09/2026,,FALSE,,164,IN STOCK,,,Black,,,68,TRUE,TRUE,TRUE
Steve Madden,5804500979,5804500979,5804500979,Steve Madden Fergie Black,https://www.shoeaholics.com/women/shoes/heels/low-mid-heels/fergie-238-black-synthetic-steve-madden-5804500979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Fergie Black """", 4 Uk, Black","Womens Steve Madden Fergie Black """", 4 Uk, Black",39.00,100.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/8/5804500979.jpg?v=1&width=800,Women > Shoes > Heels > Low-mid-heels,Women > Shoes > Heels > Low-mid-heels,10/09/2026,,FALSE,,12,IN STOCK,,,Black,,,261,TRUE,TRUE,TRUE
Carvela,5709367609,5709367609,5709367609,Carvela Women's Heels Silver Combination Fabric Motto Block,https://www.shoeaholics.com/women/shoes/heels/low-mid-heels/motto-block-silver-combination-fabric-carvela-5709367609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Silver Crystal Block Heel, Silver Combination","Silver Crystal Block Heel, Silver Combination",79.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/7/5709367609.jpg?v=1&width=800,Women > Shoes > Heels > Low-mid-heels,Women > Shoes > Heels > Low-mid-heels,10/09/2026,,FALSE,,16,IN STOCK,,,Metallic,,,242,TRUE,TRUE,TRUE
Steve Madden,5871830209,5871830209,5871830209,Steve Madden Sunkissed Brown,https://www.shoeaholics.com/women/shoes/heels/low-mid-heels/sunkissed-perf-839-brown-suede-steve-madden-5871830209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Sunkissed Brown """", 6 Uk, Brown","Womens Steve Madden Sunkissed Brown """", 6 Uk, Brown",59.00,140.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/8/5871830209.jpg?v=1&width=800,Women > Shoes > Heels > Low-mid-heels,Women > Shoes > Heels > Low-mid-heels,10/09/2026,,FALSE,,31,IN STOCK,,,Brown,,,198,TRUE,TRUE,TRUE
Carvela,5709400979,5709400979,5709400979,Carvela Women's Heels Black Synthetic Valentina,https://www.shoeaholics.com/women/shoes/heels/slingbacks/valentina-court-black-synthetic-carvela-5709400979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Slingback Heel, Black","Black Slingback Heel, Black",79.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/7/5709400979.jpg?v=1&width=800,Women > Shoes > Heels > Slingbacks,Women > Shoes > Heels > Slingbacks,10/09/2026,,FALSE,,133,IN STOCK,,,Black,,,88,TRUE,TRUE,TRUE
Carvela,5708461979,5708461979,5708461979,Carvela Women's Heels Gold Synthetic Lusso Wedge,https://www.shoeaholics.com/women/shoes/heels/high-heels/lusso-wedge-gold-synthetic-carvela-5708461979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Wedge Rope Heel, Gold","Wedge Rope Heel, Gold",49.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/7/5708461979.jpg?v=1&width=800,Women > Shoes > Heels > High-heels,Women > Shoes > Heels > High-heels,10/09/2026,,FALSE,,7,IN STOCK,,,Metallic,,,299,TRUE,TRUE,TRUE
Carvela,5938561069,5938561069,5938561069,Carvela Women's Heels Gold Fabric Other Fantastico Sling,https://www.shoeaholics.com/women/shoes/heels/slingbacks/fantastico-sling-gold-fabric-other-carvela-5938561069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Gold Crystal Slingback Heel, Gold","Gold Crystal Slingback Heel, Gold",99.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/9/5938561069.jpg?v=1&width=800,Women > Shoes > Heels > Slingbacks,Women > Shoes > Heels > Slingbacks,10/09/2026,,FALSE,,133,IN STOCK,,,Metallic,,,89,TRUE,TRUE,TRUE
