prclient,prid,prid_filtered,pridfiltered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Carvela,5133200609,5133200609,5133200609,Carvela Women's Boots Black Synthetic Tempt,https://www.shoeaholics.com/women/shoes/boots/ankle/tempt-stiletto-black-fabric-carvela-5133200609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Microsuede Stiletto Boot, Black","Black Microsuede Stiletto Boot, Black",119.00,169.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5133200609.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,11/09/2026,,FALSE,,92,IN STOCK,,,Black,,,185,TRUE,TRUE,TRUE
Kurt Geiger London,5025243609,5025243609,5025243609,Kurt Geiger Women's Boots Beige Fabric Mayfair,https://www.shoeaholics.com/women/shoes/boots/heeled/mayfair-point-otk-boot-beige-combination-fabric-kurt-geiger-london-5025243609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Mayfair Over The Knee Boot """", 3 Uk, Beige","Womens Kurt Geiger London Mayfair Over The Knee Boot """", 3 Uk, Beige",75.00,349.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/0/5025243609.jpg?v=1&width=800,Women > Shoes > Boots > Heeled,Women > Shoes > Boots > Heeled,11/09/2026,,FALSE,,38,IN STOCK,,,Nude,,,274,TRUE,TRUE,TRUE
Kg Kurt Geiger,5138600209,5138600209,5138600209,KG Kurt Geiger Women's Boots Black High Leg Suede Tansy,https://www.shoeaholics.com/women/shoes/boots/heeled/tansy-high-leg-black-suede-kg-kurt-geiger-5138600209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Suede High Leg Boot, Black","Black Suede High Leg Boot, Black",39.00,199.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5138600209.jpg?v=1&width=800,Women > Shoes > Boots > Heeled,Women > Shoes > Boots > Heeled,11/09/2026,,FALSE,,57,IN STOCK,,,Black,,,236,TRUE,TRUE,TRUE
Carvela,5234930979,5234930979,5234930979,Carvela Jackpot Wide Fit Ankle Boot,https://www.shoeaholics.com/women/shoes/boots/ankle/jackpot-ankle-wide-fit-brown-synthetic-carvela-5234930979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Jackpot Wide Fit Ankle Boot """", 8 Uk, Brown","Womens Carvela Jackpot Wide Fit Ankle Boot """", 8 Uk, Brown",159.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/2/5234930979.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,11/09/2026,,FALSE,,250,IN STOCK,,,Brown,,,66,TRUE,TRUE,FALSE
Carvela,5147405069,5147405069,5147405069,Carvela Women's Boots Black Combination Fabric Other Boulder,https://www.shoeaholics.com/women/shoes/boots/heeled/boulder-high-leg-black-combination-fabric-other-carvela-5147405069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Microsuede Knee High Boot, Black","Black Microsuede Knee High Boot, Black",139.00,199.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5147405069.jpg?v=1&width=800,Women > Shoes > Boots > Heeled,Women > Shoes > Boots > Heeled,11/09/2026,,FALSE,,426,IN STOCK,,,Black,,,17,TRUE,TRUE,TRUE
Kurt Geiger London,5259430209,5259430209,5259430209,Kurt Geiger Women's Ankle Boot Brown Suede Western,https://www.shoeaholics.com/women/shoes/boots/ankle/kglwestern-ankle-boot-brown-suede-kurt-geiger-london-5259430209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Brown Suede Leather Ankle Boot, Brown","Brown Suede Leather Ankle Boot, Brown",59.00,239.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/2/5259430209.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,11/09/2026,,FALSE,,6,IN STOCK,,,Brown,,,472,TRUE,TRUE,TRUE
Kurt Geiger London,5022300419,5022300419,5022300419,Kurt Geiger Women's Boots Black Croc Print Leather Fold Over,https://www.shoeaholics.com/women/shoes/boots/heeled/fold-over-tall-boot-black-croc-print-leather-kurt-geiger-london-5022300419?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Fold Over Tall Boot """", 3 Uk, Black","Womens Kurt Geiger London Fold Over Tall Boot """", 3 Uk, Black",99.00,369.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/0/5022300419.jpg?v=1&width=800,Women > Shoes > Boots > Heeled,Women > Shoes > Boots > Heeled,11/09/2026,,FALSE,,40,IN STOCK,,,Black,,,268,TRUE,TRUE,TRUE
Carvela,5177300979,5177300979,5177300979,Carvela Women's Ankle Boot Black Synthetic Headline Coin,https://www.shoeaholics.com/women/shoes/boots/headline-coin-black-synthetic-carvela-5177300979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Leather Boot, Black","Black Leather Boot, Black",25.00,169.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5177300979.jpg?v=1&width=800,Women > Shoes > Boots,Women > Shoes > Boots,11/09/2026,,FALSE,,81,IN STOCK,,,Black,,,197,TRUE,TRUE,TRUE
Carvela,5102530109,5102530109,5102530109,Carvela Women's Boots Brown Leather Pienza Riding,https://www.shoeaholics.com/women/shoes/boots/pienza-riding-boot-brown-leather-carvela-5102530109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Brown Leather Riding Boot, Brown","Brown Leather Riding Boot, Brown",159.00,229.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5102530109.jpg?v=1&width=800,Women > Shoes > Boots,Women > Shoes > Boots,11/09/2026,,FALSE,,37,IN STOCK,,,Brown,,,277,TRUE,TRUE,TRUE
Kurt Geiger London,4994000209,4994000209,4994000209,Kurt Geiger Women's Ankle Boots Black Suede Mansion,https://www.shoeaholics.com/women/shoes/boots/ankle/mansion-ankle-boot-black-suede-kurt-geiger-london-4994000209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Mansion Ankle Boot """", 8 Uk, Black","Womens Kurt Geiger London Mansion Ankle Boot """", 8 Uk, Black",59.00,269.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/9/4994000209.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,11/09/2026,,FALSE,,33,IN STOCK,,,Black,,,289,TRUE,TRUE,TRUE
