prclient,prid,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Kurt Geiger London,5240500109,5240500109,Kurt Geiger Women's Boots Black Leather Buckle,https://www.shoeaholics.com/women/shoes/boots/ankle/buckle-stud-ankle-boot-black-leather-kurt-geiger-london-5240500109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Studded Ankle Boot, Black","Black Studded Ankle Boot, Black",59.00,239.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/2/5240500109.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,01/09/2026,,FALSE,,26,IN STOCK,,,Black,,,1286,TRUE,TRUE,TRUE
Kg Kurt Geiger,5136200069,5136200069,KG Kurt Geiger Women's Boots Black Synthetic Storm,https://www.shoeaholics.com/women/shoes/boots/heeled/storm-otk-black-fabric-other-kg-kurt-geiger-5136200069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Microsuede Knee High Boot, Black","Black Microsuede Knee High Boot, Black",39.00,179.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5136200069.jpg?v=1&width=800,Women > Shoes > Boots > Heeled,Women > Shoes > Boots > Heeled,01/09/2026,,FALSE,,42,IN STOCK,,,Black,,,1083,TRUE,TRUE,TRUE
Carvela,5097900979,5097900979,Carvela Women's Boots Black Synthetic Cleo,https://www.shoeaholics.com/women/shoes/boots/heeled/cleo-otk-black-synthetic-carvela-5097900979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Leather Knee High Boot, Black","Black Leather Knee High Boot, Black",39.00,219.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/0/5097900979.jpg?v=1&width=800,Women > Shoes > Boots > Heeled,Women > Shoes > Boots > Heeled,01/09/2026,,FALSE,,136,IN STOCK,,,Black,,,558,TRUE,TRUE,TRUE
Kurt Geiger London,5004230209,5004230209,Kurt Geiger Women's Boots Brown Suede Chelsea,https://www.shoeaholics.com/women/shoes/boots/chelsea-trim-knee-boot-brown-suede-kurt-geiger-london-5004230209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Chelsea Trim Knee Boot """", 3 Uk, Brown","Womens Kurt Geiger London Chelsea Trim Knee Boot """", 3 Uk, Brown",59.00,249.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/0/5004230209.jpg?v=1&width=800,Women > Shoes > Boots,Women > Shoes > Boots,01/09/2026,,FALSE,,7,IN STOCK,,,Brown,,,1829,TRUE,TRUE,TRUE
Steve Madden,5971671979,5971671979,Steve Madden Rocky Dark Green,https://www.shoeaholics.com/women/shoes/boots/heeled/rockyh20-577-dark-green-synthetic-steve-madden-5971671979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Rocky Dark Green """", 6 Uk, Dark Green","Womens Steve Madden Rocky Dark Green """", 6 Uk, Dark Green",39.00,130.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/9/5971671979.jpg?v=1&width=800,Women > Shoes > Boots > Heeled,Women > Shoes > Boots > Heeled,01/09/2026,,FALSE,,43,IN STOCK,,,Green,,,1072,TRUE,TRUE,TRUE
Kurt Geiger London,6310267609,6310267609,Kurt Geiger Women's Heel Silver Combination Fabric Brixton,https://www.shoeaholics.com/women/shoes/heels/high-heels/brixton-platform-silver-combination-fabric-kurt-geiger-london-6310267609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Brixton Platform Heel """", 6 Uk, Silver Combination","Womens Kurt Geiger London Brixton Platform Heel """", 6 Uk, Silver Combination",119.00,199.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/3/6310267609.jpg?v=1&width=800,Women > Shoes > Heels > High-heels,Women > Shoes > Heels > High-heels,01/09/2026,,FALSE,,205,IN STOCK,,,Metallic,,,322,TRUE,TRUE,TRUE
Carvela,5898061979,5898061979,Carvela Paparazza Heel Gold Strappy Heel,https://www.shoeaholics.com/women/shoes/heels/high-heels/paparazza-heel-gold-synthetic-carvela-5898061979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Gold Strappy Heel, Gold","Gold Strappy Heel, Gold",79.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/8/5898061979.jpg?v=1&width=800,Women > Shoes > Heels > High-heels,Women > Shoes > Heels > High-heels,01/09/2026,,FALSE,,214,IN STOCK,,,Metallic,,,300,TRUE,TRUE,TRUE
Kg Kurt Geiger,8182863979,8182863979,KG Kurt Geiger Women's Trainers Silver Vegan Liza2,https://www.shoeaholics.com/women/shoes/trainers/slip-on/liza2-silver-synthetic-kg-kurt-geiger-8182863979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Silver Vegan Croc Embellished Lace Up Sneakers, Silver","Silver Vegan Croc Embellished Lace Up Sneakers, Silver",29.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/8/1/8182863979.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,01/09/2026,,FALSE,,19,IN STOCK,,,Metallic,,,1414,TRUE,TRUE,TRUE
Kurt Geiger London,5624075429,5624075429,Kurt Geiger Women's Ring Green Combination Brass Oval Gem,https://www.shoeaholics.com/women/accessories/jewellery/oval-gem-ring-green-combination-brass-kurt-geiger-london-5624075429?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Oval Trim Gem Ring, Green Combination","Oval Trim Gem Ring, Green Combination",29.00,99.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/6/5624075429.jpg?v=1&width=800,Women > Accessories > Jewellery,Women > Accessories > Jewellery,01/09/2026,,FALSE,,13,IN STOCK,,,Green,,,1604,TRUE,TRUE,TRUE
Carvela,6030161609,6030161609,Carvela Women's Heels Gold Fabric Loopi,https://www.shoeaholics.com/women/shoes/heels/loopi-sandal-gold-fabric-carvela-6030161609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Gold Fabric High Heel, Gold","Gold Fabric High Heel, Gold",89.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/0/6030161609.jpg?v=1&width=800,Women > Shoes > Heels,Women > Shoes > Heels,01/09/2026,,FALSE,,62,IN STOCK,,,Metallic,,,914,TRUE,TRUE,TRUE
