prclient,prid,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Carvela,4418556979,4418556979,Carvela Alina Sling Heel Dark Red Patent Croc Slingback Heel,https://www.shoeaholics.com/women/shoes/heels/slingbacks/alina-sling-wine-combination-synthetic-carvela-4418556979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Dark Red Patent Croc Slingback Heel, Wine","Dark Red Patent Croc Slingback Heel, Wine",69.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/4/4418556979.jpg?v=1&width=800,Women > Shoes > Heels > Slingbacks,Women > Shoes > Heels > Slingbacks,01/09/2026,,FALSE,,267,IN STOCK,,,Red,,,187,TRUE,TRUE,TRUE
Kurt Geiger London,4994900609,4994900609,Kurt Geiger Women's Boot Black Fabric Regent Point,https://www.shoeaholics.com/women/shoes/boots/ankle/regent-point-sock-boot-black-fabric-kurt-geiger-london-4994900609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Regent Point Sock Boot """", 8 Uk, Black","Womens Kurt Geiger London Regent Point Sock Boot """", 8 Uk, Black",39.00,199.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/9/4994900609.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,01/09/2026,,FALSE,,14,IN STOCK,,,Black,,,1570,TRUE,TRUE,TRUE
Carvela Comfort,5200200979,5200200979,Carvela Women's Boots Black Synthetic Flute,https://www.shoeaholics.com/women/shoes/boots/ankle/flute-coin-black-synthetic-carvela-comfort-5200200979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Comfort Flute Coin Boot """", 6 Uk, Black","Womens Carvela Comfort Flute Coin Boot """", 6 Uk, Black",119.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/2/5200200979.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,01/09/2026,,FALSE,,353,IN STOCK,,,Black,,,93,TRUE,TRUE,TRUE
Kg Kurt Geiger,3927600829,3927600829,KG Kurt Geiger Women's Ballet Flat Black Synthetic Mindy2,https://www.shoeaholics.com/women/shoes/flats/mindy2-black-polyurethane-kg-kurt-geiger-3927600829?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Ballet Flats, Black","Black Ballet Flats, Black",69.00,89.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/3/9/3927600829.jpg?v=1&width=800,(Uncategorized),(Uncategorized),01/09/2026,,FALSE,,370,IN STOCK,,,Black,,,80,TRUE,TRUE,TRUE
Kg Kurt Geiger,5139200309,5139200309,KG Kurt Geiger Women's Flats Black Patent Morly,https://www.shoeaholics.com/women/shoes/flats/morly-slip-on-black-patent-kg-kurt-geiger-5139200309?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Patent Slip On Loafer, Black","Patent Slip On Loafer, Black",79.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5139200309.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,01/09/2026,,FALSE,,88,IN STOCK,,,Black,,,776,TRUE,TRUE,TRUE
Kg Kurt Geiger,4486930209,4486930209,KG Kurt Geiger Women's Trainers Brown Suede Lillian,https://www.shoeaholics.com/women/shoes/trainers/lillian2-brown-suede-kg-kurt-geiger-4486930209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Brown Suede Lace Up Sneaker, Brown","Brown Suede Lace Up Sneaker, Brown",69.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/4/4486930209.jpg?v=1&width=800,Women > Shoes > Trainers,Women > Shoes > Trainers,01/09/2026,,FALSE,,118,IN STOCK,,,Brown,,,649,TRUE,TRUE,TRUE
Kg Kurt Geiger,4016700829,4016700829,KG Kurt Geiger Women's Boots Black Synthetic True,https://www.shoeaholics.com/women/shoes/boots/true-black-polyurethane-kg-kurt-geiger-4016700829?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Patent Heel Ankle Boot, Black","Black Patent Heel Ankle Boot, Black",49.00,169.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/0/4016700829.jpg?v=1&width=800,Women,Women,01/09/2026,,FALSE,,183,IN STOCK,,,Black,,,393,TRUE,TRUE,TRUE
Kg Kurt Geiger,3928130829,3928130829,KG Kurt Geiger Women's Boots Brown Synthetic Tegan,https://www.shoeaholics.com/women/shoes/boots/biker/tegan-sock2-brown-polyurethane-kg-kurt-geiger-3928130829?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Brown Synthetic Sock Boot, Brown","Brown Synthetic Sock Boot, Brown",119.00,169.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/3/9/3928130829.jpg?v=1&width=800,Women > Shoes > Boots > Biker,Women > Shoes > Boots > Biker,01/09/2026,,FALSE,,388,IN STOCK,,,Brown,,,71,TRUE,TRUE,TRUE
Kg Kurt Geiger,5136005069,5136005069,KG Kurt Geiger Women's Boots Black Synthetic Tatiana,https://www.shoeaholics.com/women/shoes/boots/ankle/tatiana-black-combination-fabric-other-kg-kurt-geiger-5136005069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Microsuede Ankle Boot, Black","Black Microsuede Ankle Boot, Black",39.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5136005069.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,01/09/2026,,FALSE,,10,IN STOCK,,,Black,,,1709,TRUE,TRUE,TRUE
Kurt Geiger London,5088454419,5088454419,Kurt Geiger Women's Flats Croc Print Leather Kingsley,https://www.shoeaholics.com/women/shoes/flats/kingsley-pointed-flat-wine-croc-print-leather-kurt-geiger-london-5088454419?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Wine Croc Pointed Flat Shoe, Wine","Wine Croc Pointed Flat Shoe, Wine",99.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/0/5088454419.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,01/09/2026,,FALSE,,78,IN STOCK,,,Red,,,825,TRUE,TRUE,TRUE
Carvela,5147405069,5147405069,Carvela Women's Boots Black Combination Fabric Other Boulder,https://www.shoeaholics.com/women/shoes/boots/heeled/boulder-high-leg-black-combination-fabric-other-carvela-5147405069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Microsuede Knee High Boot, Black","Black Microsuede Knee High Boot, Black",139.00,199.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5147405069.jpg?v=1&width=800,Women > Shoes > Boots > Heeled,Women > Shoes > Boots > Heeled,01/09/2026,,FALSE,,531,IN STOCK,,,Black,,,28,TRUE,TRUE,TRUE
Carvela,4403389979,4403389979,Carvela Women's Trainer Blue Other Synthetic Fabric Palermo,https://www.shoeaholics.com/women/shoes/trainers/slip-on/palermo-stripe-sneaker-blue-other-synthetic-carvela-4403389979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Palermo Stripe Trainer """", 4 Uk","Womens Carvela Palermo Stripe Trainer """", 4 Uk",49.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/4/4403389979.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,01/09/2026,,FALSE,,13,IN STOCK,,,,,,1607,TRUE,TRUE,TRUE
Kg Kurt Geiger,5161400829,5161400829,KG Kurt Geiger Women's Boot Black Synthetic Trim,https://www.shoeaholics.com/women/shoes/boots/trix-black-polyurethane-kg-kurt-geiger-5161400829?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kg Kurt Geiger Trix Boot """", 8 Uk, Black","Womens Kg Kurt Geiger Trix Boot """", 8 Uk, Black",49.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5161400829.jpg?v=1&width=800,Women > Shoes > Boots,Women > Shoes > Boots,01/09/2026,,FALSE,,19,IN STOCK,,,Black,,,1415,TRUE,TRUE,TRUE
Kurt Geiger London,5237069979,5237069979,Kurt Geiger Women's Scarf Fabric Synthetic Chain,https://www.shoeaholics.com/women/accessories/chain-scarf-multiother-synthetic-kurt-geiger-london-5237069979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Chain Scarf """", No Size","Womens Kurt Geiger London Chain Scarf """", No Size",59.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/2/5237069979.jpg?v=1&width=800,Women > Accessories,Women > Accessories,01/09/2026,,FALSE,,26,IN STOCK,,,,,,1288,TRUE,TRUE,TRUE
Steve Madden,4266900069,4266900069,Steve Madden Viv Ballet Flat,https://www.shoeaholics.com/women/shoes/flats/viv-001-black-fabric-other-steve-madden-4266900069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Viv Ballet Flat """", 4 Uk, Black","Womens Steve Madden Viv Ballet Flat """", 4 Uk, Black",49.00,110.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/2/4266900069.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,01/09/2026,,FALSE,,15,IN STOCK,,,Black,,,1531,TRUE,TRUE,TRUE
Carvela,5102500109,5102500109,Carvela Women's Boots Black Leather Pienza,https://www.shoeaholics.com/women/shoes/boots/pienza-riding-boot-black-leather-carvela-5102500109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Leather Riding Boot, Black","Black Leather Riding Boot, Black",159.00,229.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5102500109.jpg?v=1&width=800,Women > Shoes > Boots,Women > Shoes > Boots,01/09/2026,,FALSE,,105,IN STOCK,,,Black,,,697,TRUE,TRUE,TRUE
Kg Kurt Geiger,4480631069,4480631069,Kurt Geiger Women's Heels Dark Brown Fabric Athena,https://www.shoeaholics.com/women/shoes/heels/high-heels/athena-dark-brown-fabric-other-kg-kurt-geiger-4480631069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kg Kurt Geiger Athena Heel """", 5 Uk, Dark Brown","Womens Kg Kurt Geiger Athena Heel """", 5 Uk, Dark Brown",99.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/4/4480631069.jpg?v=1&width=800,Women > Shoes > Heels > High-heels,Women > Shoes > Heels > High-heels,01/09/2026,,FALSE,,172,IN STOCK,,,Brown,,,433,TRUE,TRUE,TRUE
Carvela,5147500979,5147500979,Carvela Women's Boot Black Synthetic Boulder,https://www.shoeaholics.com/women/shoes/boots/biker/boulder-heeled-lace-up-black-synthetic-carvela-5147500979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Boot Heeled Boot, Black","Black Boot Heeled Boot, Black",129.00,179.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5147500979.jpg?v=1&width=800,Women > Shoes > Boots > Biker,Women > Shoes > Boots > Biker,01/09/2026,,FALSE,,142,IN STOCK,,,Black,,,537,TRUE,TRUE,TRUE
Kg Kurt Geiger,3926305069,3926305069,KG Kurt Geiger Women's Trainers Black Synthetic Lara,https://www.shoeaholics.com/women/shoes/trainers/slip-on/lara2-black-combination-fabric-other-kg-kurt-geiger-3926305069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Crystal Sneaker, Black","Black Crystal Sneaker, Black",59.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/3/9/3926305069.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,01/09/2026,,FALSE,,48,IN STOCK,,,Black,,,1016,TRUE,TRUE,TRUE
Carvela,3917900979,3917900979,Carvela Explorer Sock Boot Black Soft Ankle Boot,https://www.shoeaholics.com/women/shoes/boots/biker/explorer-sock-black-synthetic-carvela-3917900979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Soft Ankle Boot, Black","Black Soft Ankle Boot, Black",109.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/3/9/3917900979.jpg?v=1&width=800,Brands > Carvela > Womens-shoes,Brands > Carvela > Womens-shoes,01/09/2026,,FALSE,,59,IN STOCK,,,Black,,,929,TRUE,TRUE,TRUE
Kg Kurt Geiger,5160100829,5160100829,KG Kurt Geiger Women's Boots Black Leather Telling,https://www.shoeaholics.com/women/shoes/boots/heeled/telling2-black-polyurethane-kg-kurt-geiger-5160100829?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kg Kurt Geiger Telling Boot """", 5 Uk, Black","Womens Kg Kurt Geiger Telling Boot """", 5 Uk, Black",59.00,199.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5160100829.jpg?v=1&width=800,Women > Shoes > Boots,Women > Shoes > Boots,01/09/2026,,FALSE,,205,IN STOCK,,,Black,,,323,TRUE,TRUE,TRUE
Carvela,5234930979,5234930979,Carvela Jackpot Wide Fit Ankle Boot,https://www.shoeaholics.com/women/shoes/boots/ankle/jackpot-ankle-wide-fit-brown-synthetic-carvela-5234930979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Jackpot Wide Fit Ankle Boot """", 8 Uk, Brown","Womens Carvela Jackpot Wide Fit Ankle Boot """", 8 Uk, Brown",109.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/2/5234930979.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,01/09/2026,,FALSE,,260,IN STOCK,,,Brown,,,197,TRUE,TRUE,TRUE
Kg Kurt Geiger,5139900109,5139900109,KG Kurt Geiger Women's Boot Black Leather Sage Ankle,https://www.shoeaholics.com/women/shoes/boots/sage-ankle-black-leather-kg-kurt-geiger-5139900109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Grained Leather Boot, Black","Black Grained Leather Boot, Black",39.00,169.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5139900109.jpg?v=1&width=800,Women > Shoes > Boots,Women > Shoes > Boots,01/09/2026,,FALSE,,13,IN STOCK,,,Black,,,1608,TRUE,TRUE,TRUE
Carvela,5264400979,5264400979,Carvela Women's Black Synthetic Refined Court,https://www.shoeaholics.com/women/shoes/heels/high-heels/refined-court-wide-fit-black-synthetic-carvela-5264400979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Wide Fit Black Court Heel, Black","Wide Fit Black Court Heel, Black",69.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/2/5264400979.jpg?v=1&width=800,Women > Shoes > Heels > High-heels,Women > Shoes > Heels > High-heels,01/09/2026,,FALSE,,84,IN STOCK,,,Black,,,799,TRUE,TRUE,TRUE
Carvela,1057400609,1057400609,Carvela Women's Ankle Boot Black Fabric,https://www.shoeaholics.com/women/shoes/boots/heeled/tampa-ankle-black-fabric-carvela-1057400609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Microsuede Ankle Boot, Black","Black Microsuede Ankle Boot, Black",109.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/1/0/1057400609.jpg?v=1&width=800,Brands > Carvela > Womens-shoes,Brands > Carvela > Womens-shoes,01/09/2026,,FALSE,,33,IN STOCK,,,Black,,,1181,TRUE,TRUE,TRUE
Kg Kurt Geiger,5162330209,5162330209,KG Kurt Geiger Women's boots Brown Suede Ankle True Sock,https://www.shoeaholics.com/women/shoes/boots/true-sock-brown-suede-kg-kurt-geiger-5162330209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kg Kurt Geiger True Sock Boot """", 5 Uk, Brown","Womens Kg Kurt Geiger True Sock Boot """", 5 Uk, Brown",49.00,179.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5162330209.jpg?v=1&width=800,Women > Shoes > Boots,Women > Shoes > Boots,01/09/2026,,FALSE,,316,IN STOCK,,,Brown,,,122,TRUE,TRUE,TRUE
Kurt Geiger London,4396039029,4396039029,Kurt Geiger Women's Trainer Brown Other Suede Other Islington Sneaker,https://www.shoeaholics.com/women/shoes/trainers/islington-sneaker-brown-other-suede-other-kurt-geiger-london-4396039029?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Islington Sneaker """", 5 Uk","Womens Kurt Geiger London Islington Sneaker """", 5 Uk",109.00,179.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/3/4396039029.jpg?v=1&width=800,Women > Shoes > Trainers,Women > Shoes > Trainers,01/09/2026,,FALSE,,30,IN STOCK,,,,,,1219,TRUE,TRUE,TRUE
Kg Kurt Geiger,4482498829,4482498829,KG Kurt Geiger Women's Heels Pink Synthetic Adina,https://www.shoeaholics.com/women/shoes/heels/slingbacks/adina-pink-polyurethane-kg-kurt-geiger-4482498829?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Salmon Patent Slingback Heel, Pink","Salmon Patent Slingback Heel, Pink",49.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/4/4482498829.jpg?v=1&width=800,Women > Shoes > Heels > Slingbacks,Women > Shoes > Heels > Slingbacks,01/09/2026,,FALSE,,23,IN STOCK,,,Pink,,,1339,TRUE,TRUE,TRUE
Kg Kurt Geiger,4808845829,4808845829,KG Kurt Giger Women's Trainers Cream combination Synthetic Lemi,https://www.shoeaholics.com/women/shoes/trainers/slip-on/lemi-cream-combination-polyurethane-kg-kurt-geiger-4808845829?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kg Kurt Geiger Lemi Sneaker """", 5 Uk, Cream Combination","Womens Kg Kurt Geiger Lemi Sneaker """", 5 Uk, Cream Combination",79.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/8/4808845829.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,01/09/2026,,FALSE,,153,IN STOCK,,,Nude,,,495,TRUE,TRUE,TRUE
Steve Madden,0982600979,0982600979,Steve Madden Ally Black Boot,https://www.shoeaholics.com/women/shoes/boots/heeled/ally-001-black-black-synthetic-steve-madden-0982600979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Ally Black Boot """", 8 Uk, Black","Womens Steve Madden Ally Black Boot """", 8 Uk, Black",59.00,170.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/0/9/0982600979.jpg?v=1&width=800,Women > Shoes > Boots > Heeled,Women > Shoes > Boots > Heeled,01/09/2026,,FALSE,,79,IN STOCK,,,Black,,,820,TRUE,TRUE,TRUE
Kurt Geiger London,4985836209,4985836209,Kids Mini Ankle Boot Brown leather Eagle,https://www.shoeaholics.com/women/shoes/boots/ankle/mini-eagle-ankle-boot-tan-combination-suede-kurt-geiger-london-4985836209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Mini Eagle Ankle Boot """", 3 Uk, Tan","Womens Kurt Geiger London Mini Eagle Ankle Boot """", 3 Uk, Tan",69.00,249.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/9/4985836209.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,01/09/2026,,FALSE,,65,IN STOCK,,,Tan,,,894,TRUE,TRUE,TRUE
Carvela,5007800109,5007800109,Carvela Women's Loafers Black Flat Formal Vista Loafer,https://www.shoeaholics.com/women/shoes/flats/vista-loafer-black-leather-carvela-5007800109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Vista Loafer """", 9 Uk, Black","Womens Carvela Vista Loafer """", 9 Uk, Black",49.00,169.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/0/5007800109.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,01/09/2026,,FALSE,,27,IN STOCK,,,Black,,,1265,TRUE,TRUE,TRUE
Kurt Geiger London,5241600209,5241600209,Kurt Geiger Women's Boots Black Leather Suede Block Heel,https://www.shoeaholics.com/women/shoes/boots/heeled/kgl-block-heel-knee-boot-black-suede-kurt-geiger-london-5241600209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Knee High Boot, Black","Black Knee High Boot, Black",79.00,319.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/2/5241600209.jpg?v=1&width=800,Women > Shoes > Boots > Heeled,Women > Shoes > Boots > Heeled,01/09/2026,,FALSE,,111,IN STOCK,,,Black,,,676,TRUE,TRUE,TRUE
Carvela,5218800979,5218800979,Carvela Women's Hobo Bag Black Synthetic Cassia,https://www.shoeaholics.com/women/bags/cassia-mini-hobo-black-synthetic-carvela-5218800979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Hobo Shoulder Bag, Black","Black Hobo Shoulder Bag, Black",69.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/2/5218800979.jpg?v=1&width=800,Women > Bags,Women > Bags,01/09/2026,,FALSE,,13,IN STOCK,,,Black,,,1609,TRUE,TRUE,TRUE
Carvela,4524310609,4524310609,Carvela Women's Block Heel Fabric Divine Block,https://www.shoeaholics.com/women/shoes/heels/low-mid-heels/divine-block-white-fabric-carvela-4524310609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"White Pearl Fabric Block Heel, White","White Pearl Fabric Block Heel, White",79.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/5/4524310609.jpg?v=1&width=800,Women > Shoes > Heels > Low-mid-heels,Women > Shoes > Heels > Low-mid-heels,01/09/2026,,FALSE,,153,IN STOCK,,,White,,,496,TRUE,TRUE,TRUE
Carvela,4529761979,4529761979,Carvela Sadie Wedge Jewel Heel Gold Crystal Wedge Heel,https://www.shoeaholics.com/women/shoes/sandals/wedges/sadie-wedge-jewel-gold-synthetic-carvela-4529761979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Gold Crystal Wedge Heel, Gold","Gold Crystal Wedge Heel, Gold",49.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/5/4529761979.jpg?v=1&width=800,(Uncategorized),(Uncategorized),01/09/2026,,FALSE,,6,IN STOCK,,,Metallic,,,1895,TRUE,TRUE,TRUE
Carvela,5149730209,5149730209,Carvela Women's Brown Suede Snap Chunky,https://www.shoeaholics.com/women/shoes/flats/snap-chunky-brown-suede-carvela-5149730209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Snap Chunky Loafer """", 6 Uk, Brown","Womens Carvela Snap Chunky Loafer """", 6 Uk, Brown",89.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5149730209.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,01/09/2026,,FALSE,,162,IN STOCK,,,Brown,,,476,TRUE,TRUE,TRUE
Kg Kurt Geiger,4486910829,4486910829,Kg Kurt Geiger Lillian Sneaker White Textured Sneaker,https://www.shoeaholics.com/women/shoes/trainers/slip-on/lillian2-white-polyurethane-kg-kurt-geiger-4486910829?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"White Textured Sneaker, White","White Textured Sneaker, White",69.00,109.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/4/4486910829.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,01/09/2026,,FALSE,,158,IN STOCK,,,White,,,484,TRUE,TRUE,TRUE
Kg Kurt Geiger,3944330109,3944330109,KG Kurt Geiger Women's Boots Brown Leather Sage,https://www.shoeaholics.com/women/shoes/boots/heeled/sage-high-leg-brown-leather-kg-kurt-geiger-3944330109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Dark Brown Leather Knee High Boot, Brown","Dark Brown Leather Knee High Boot, Brown",159.00,229.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/3/9/3944330109.jpg?v=1&width=800,Women > Shoes > Boots > Heeled,Women > Shoes > Boots > Heeled,01/09/2026,,FALSE,,485,IN STOCK,,,Brown,,,38,TRUE,TRUE,TRUE
Kg Kurt Geiger,5162300829,5162300829,KG Kurt Geiger Women's Black Synthetic True Sock,https://www.shoeaholics.com/women/shoes/boots/true-sock-black-polyurethane-kg-kurt-geiger-5162300829?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kg Kurt Geiger True Sock Boot """", 7 Uk, Black","Womens Kg Kurt Geiger True Sock Boot """", 7 Uk, Black",49.00,169.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5162300829.jpg?v=1&width=800,Women > Shoes > Boots,Women > Shoes > Boots,01/09/2026,,FALSE,,174,IN STOCK,,,Black,,,424,TRUE,TRUE,TRUE
Carvela,4529300609,4529300609,Carvela Women's Coat Heel Black Fabric Corletta,https://www.shoeaholics.com/women/shoes/heels/slingbacks/corletta-sling-court-black-fabric-carvela-4529300609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Microsuede Heel, Black","Black Microsuede Heel, Black",79.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/5/4529300609.jpg?v=1&width=800,Women > Shoes > Heels > Slingbacks,Women > Shoes > Heels > Slingbacks,01/09/2026,,FALSE,,362,IN STOCK,,,Black,,,88,TRUE,TRUE,TRUE
