prclient,prid,prid_filtered,pridfiltered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Steve Madden,5141430029,5141430029,5141430029,Steve Madden Leni Brown,https://www.shoeaholics.com/women/shoes/flats/leni-839-brown-suede-other-steve-madden-5141430029?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Leni Brown """", 6 Uk, Brown","Womens Steve Madden Leni Brown """", 6 Uk, Brown",99.00,120.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5141430029.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,22,IN STOCK,,,Brown,,,102,TRUE,TRUE,TRUE
Steve Madden,4831710069,4831710069,4831710069,Steve Madden Mash White,https://www.shoeaholics.com/women/shoes/flats/mash-104-white-fabric-other-steve-madden-4831710069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Mash White """", 5 Uk, White","Womens Steve Madden Mash White """", 5 Uk, White",69.00,90.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/8/4831710069.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,59,IN STOCK,,,White,,,74,TRUE,TRUE,TRUE
Kg Kurt Geiger,4809000069,4809000069,4809000069,KG Kurt Geiger Women's Loafers Black Fabric Other Million,https://www.shoeaholics.com/women/shoes/flats/million-black-fabric-other-kg-kurt-geiger-4809000069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Microsuede Loafer, Black","Black Microsuede Loafer, Black",79.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/8/4809000069.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,391,IN STOCK,,,Black,,,2,TRUE,TRUE,TRUE
Steve Madden,4831731609,4831731609,4831731609,Steve Madden Mash Dark Brown,https://www.shoeaholics.com/women/shoes/flats/mash-de1-dark-brown-fabric-steve-madden-4831731609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Mash Dark Brown """", 6 Uk, Dark Brown","Womens Steve Madden Mash Dark Brown """", 6 Uk, Dark Brown",69.00,90.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/8/4831731609.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,16,IN STOCK,,,Brown,,,118,TRUE,TRUE,TRUE
Kg Kurt Geiger,5139030209,5139030209,5139030209,Kg Kurt Geiger Tasha Loafer,https://www.shoeaholics.com/women/shoes/flats/tasha-loafer2-brown-suede-kg-kurt-geiger-5139030209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kg Kurt Geiger Tasha Loafer """", 7 Uk, Brown","Womens Kg Kurt Geiger Tasha Loafer """", 7 Uk, Brown",89.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5139030209.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,138,IN STOCK,,,Brown,,,45,TRUE,TRUE,TRUE
Carvela,4946900639,4946900639,4946900639,Carvela Women's Brogue Black Synthetic Sky,https://www.shoeaholics.com/women/shoes/flats/sky-brogue-black-fabric-patent-carvela-4946900639?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Patent Microsuede Brogue, Black","Patent Microsuede Brogue, Black",59.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/9/4946900639.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,196,IN STOCK,,,Black,,,25,TRUE,TRUE,TRUE
Carvela,5007800109,5007800109,5007800109,Carvela Women's Loafers Black Flat Formal Vista Loafer,https://www.shoeaholics.com/women/shoes/flats/vista-loafer-black-leather-carvela-5007800109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Vista Loafer """", 9 Uk, Black","Womens Carvela Vista Loafer """", 9 Uk, Black",49.00,169.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/0/5007800109.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,26,IN STOCK,,,Black,,,93,TRUE,TRUE,TRUE
Kg Kurt Geiger,4809030799,4809030799,4809030799,KG Kurt Geiger Women's Loafers Brown Suedette Million,https://www.shoeaholics.com/women/shoes/flats/million-brown-suedette-kg-kurt-geiger-4809030799?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Brown Suedette Slip On Loafer, Brown","Brown Suedette Slip On Loafer, Brown",79.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/8/4809030799.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,164,IN STOCK,,,Brown,,,39,TRUE,TRUE,TRUE
Kurt Geiger London,5088400209,5088400209,5088400209,Kurt Geiger Women's Flats Black Suede Kingsley,https://www.shoeaholics.com/women/shoes/flats/kingsley-pointed-flat-black-suede-kurt-geiger-london-5088400209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Suede Ballet Flat, Black","Black Suede Ballet Flat, Black",99.00,179.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/0/5088400209.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,665,IN STOCK,,,Black,,,1,TRUE,TRUE,TRUE
Steve Madden,5141431109,5141431109,5141431109,Steve Madden Leni Dark Brown,https://www.shoeaholics.com/women/shoes/flats/leni-205-dark-brown-leather-steve-madden-5141431109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Leni Dark Brown """", 6 Uk, Dark Brown","Womens Steve Madden Leni Dark Brown """", 6 Uk, Dark Brown",99.00,120.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5141431109.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,57,IN STOCK,,,Brown,,,75,TRUE,TRUE,TRUE
