prclient,prid,pridfiltered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Kurt Geiger London,5851734339,5851734339,Kurt Geiger London Celia Shoulder Bag - KENSINGTON XBODY,https://www.kurtgeiger.com/women/bags/crossbody-bags/kensington-xbody-rust-canvas-kurt-geiger-london-5851734339?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Celia Shoulder Bag is crafted from a rust soft canvas fabric with overstitch quilting detail. There is an antiqued brass eagle head on the front flap.17cm (H), 26cm (L), 8cm (D)Strap length: 53cmRust denim leather shoulder strapAntiqued brass chain strap detailCan fit phones up to 6inchesBrown embossed branded patch on the backMaterial: CanvasStyle number: 5851734339","This Celia Shoulder Bag is crafted from a rust soft canvas fabric with overstitch quilting detail. There is an antiqued brass eagle head on the front flap.17cm (H), 26cm (L), 8cm (D)Strap length: 53cmRust denim leather shoulder strapAntiqued brass chain strap detailCan fit phones up to 6inchesBrown embossed branded patch on the backMaterial: CanvasStyle number: 5851734339",109.00,109.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5851734339_20.jpg?v=1&width=800,Women > Bags > Crossbody-bags,Women > Bags > Crossbody-bags,18/08/2026,,FALSE,,103,IN STOCK,,,Brown,,,109,TRUE,TRUE,TRUE
Kurt Geiger London,5963900109,5963900109,Kurt Geiger Women's Shoulder Bag Leather Black Kensington,https://www.kurtgeiger.com/women/bags/crossbody-bags/kensington-east-west-kurt-black-leather-kurt-geiger-london-5963900109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Kensington East West Kurt bag features a large black eagle head with crystals sat on the quilted front flap. There is an antiqued brass KURT branding detail on the base of the bag.13cm (H), 30cm (L), 8cm (D)Strap length: 65cmCan fit phones up to 6inchesGold foil branding detail on the backMaterial: LeatherStyle number: 5963900109","This Kensington East West Kurt bag features a large black eagle head with crystals sat on the quilted front flap. There is an antiqued brass KURT branding detail on the base of the bag.13cm (H), 30cm (L), 8cm (D)Strap length: 65cmCan fit phones up to 6inchesGold foil branding detail on the backMaterial: LeatherStyle number: 5963900109",269.00,269.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/9/5963900109_20.jpg?v=1&width=800,Women > Bags > Crossbody-bags,Women > Bags > Crossbody-bags,18/08/2026,,FALSE,,19,IN STOCK,,,Black,,,237,TRUE,TRUE,FALSE
Kurt Geiger London,5049769129,5049769129,Kurt Geiger Women's Tote Bag Mult Other Leather Suede Chelsea,https://www.kurtgeiger.com/women/bags/shoulder-bags/chelsea-lg-slouch-hobo-multi-other-leather-suede-kurt-geiger-london-5049769129?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Large Slouch Hobo is crafted from a patchwork muted leather and suede. There is an antiqued brass oval trim with eagle head on the front of the bag,35cm (H), 50cm (L), 37cm (D)Strap length: 35cmCan fit laptops up to 14inchesInterior zipped pocketMaterial: Leather / SuedeStyle number: 5049769129","This Large Slouch Hobo is crafted from a patchwork muted leather and suede. There is an antiqued brass oval trim with eagle head on the front of the bag,35cm (H), 50cm (L), 37cm (D)Strap length: 35cmCan fit laptops up to 14inchesInterior zipped pocketMaterial: Leather / SuedeStyle number: 5049769129",279.00,279.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/0/5049769129_20.jpg?v=1&width=800,Women > Bags > Shoulder-bags,Women > Bags > Shoulder-bags,18/08/2026,,FALSE,,9,IN STOCK,,,Multi-Coloured,,,255,TRUE,TRUE,FALSE
Kurt Geiger London,5964886669,5964886669,Kurt Geiger Women's Shoulder Bag Blue Pale Combination Denim,https://www.kurtgeiger.com/women/bags/shoulder-bags/kensington-sm-barrel-blue-pale-combination-denim-kurt-geiger-london-5964886669?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Small Kensington Barrel bag is a shoulder bag crafted from a blue denim fabric with paisley bleached design and overstitch quilting. There is an antiqued brass eagle head on the front of the bag.&nbsp;9cm (H), 21cm (L), 9cm (D)Strap length: 65cmTan leather shoulder strapZip top closureBranded plate on the backCan fit phones up to 6inchesMaterial: DenimStyle number: 5964886669","This Small Kensington Barrel bag is a shoulder bag crafted from a blue denim fabric with paisley bleached design and overstitch quilting. There is an antiqued brass eagle head on the front of the bag.&nbsp;9cm (H), 21cm (L), 9cm (D)Strap length: 65cmTan leather shoulder strapZip top closureBranded plate on the backCan fit phones up to 6inchesMaterial: DenimStyle number: 5964886669",149.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/9/5964886669_20.jpg?v=1&width=800,Women > Bags > Shoulder-bags,Women > Bags > Shoulder-bags,18/08/2026,,FALSE,,59,IN STOCK,,,Blue,,,181,TRUE,TRUE,FALSE
Kurt Geiger London,5998400209,5998400209,Kurt Geiger Women's Cross Body Bag Black Suede Mini Kensington,https://www.kurtgeiger.com/women/bags/mini/mini-kensington-drench-black-suede-kurt-geiger-london-5998400209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Mini Kensington Drench Bag is crafted from a soft suede leather with signature parquet padded overstitch quilt with three rows of weave pattern. The black metal eagle head features jet black crystals and black crystal eyes on the front flap.&nbsp;14cm (H), 20cm (L), 6cm (D)Strap drop cross body: 120cmStrap drop shoulder: 70cmBlack metal chain strapDuo magnetic snap closure hidden under flapBlack branded plate on the backCan fit phones up to 7 inchesSmall internal lining pocketOuter: SuedeInterior: Monogrammed interior liningStyle number:&nbsp;5998400209","The Mini Kensington Drench Bag is crafted from a soft suede leather with signature parquet padded overstitch quilt with three rows of weave pattern. The black metal eagle head features jet black crystals and black crystal eyes on the front flap.&nbsp;14cm (H), 20cm (L), 6cm (D)Strap drop cross body: 120cmStrap drop shoulder: 70cmBlack metal chain strapDuo magnetic snap closure hidden under flapBlack branded plate on the backCan fit phones up to 7 inchesSmall internal lining pocketOuter: SuedeInterior: Monogrammed interior liningStyle number:&nbsp;5998400209",189.00,189.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/9/5998400209_20.jpg?v=1&width=800,Women > Bags > Mini,Women > Bags > Mini,18/08/2026,,FALSE,,14,IN STOCK,,,Black,,,246,TRUE,TRUE,FALSE
Kurt Geiger London,3580930209,3580930209,Kurt Geiger Women's Duffle Bag Brown Suede Kensington,https://www.kurtgeiger.com/women/bags/sm-kensington-duffle-bag-brown-suede-kurt-geiger-london-3580930209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Small Kensington Duffle Bag features a brown suede exterior with overstitch quilting. There is an antiqued brass eagle head with crystals sat on the front15cm (H), 27cm (L),7cm (D)Strap length: 132cmTwo top handlesFour antiqued brass feetAntiqued brass branded plate on the backInterior slip pocketCan fit phones up to 7inchesMaterial: LeatherStyle number: 3580930209","This Small Kensington Duffle Bag features a brown suede exterior with overstitch quilting. There is an antiqued brass eagle head with crystals sat on the front15cm (H), 27cm (L),7cm (D)Strap length: 132cmTwo top handlesFour antiqued brass feetAntiqued brass branded plate on the backInterior slip pocketCan fit phones up to 7inchesMaterial: LeatherStyle number: 3580930209",229.00,229.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/3/5/3580930209_20.jpg?v=1&width=800,Women > Bags,Women > Bags,18/08/2026,,FALSE,,70,IN STOCK,,,Brown,,,163,TRUE,TRUE,FALSE
Kurt Geiger London,5031669999,5031669999,Kurt Geiger Women's Shoulder Bag Multi Other Macro Kensington,https://www.kurtgeiger.com/women/bags/crossbody-bags/macro-kensington-f-fur-multi-other-others-kurt-geiger-london-5031669999?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Arriving in a statement faux fur in multi-colour panels, this Macro Kensington Faux Fur Bag sits on the shoulder. There is an XL antiqued brass eagle head placed on the front flap.30cm (H), 48cm (L), 20cm (D)Strap length: 75cmGold shoulder straps with inserts&nbsp;Three magnetic snap closures under the front flapTwo interior compartmentsMaterial: SyntheticStyle number: 5031669999","Arriving in a statement faux fur in multi-colour panels, this Macro Kensington Faux Fur Bag sits on the shoulder. There is an XL antiqued brass eagle head placed on the front flap.30cm (H), 48cm (L), 20cm (D)Strap length: 75cmGold shoulder straps with inserts&nbsp;Three magnetic snap closures under the front flapTwo interior compartmentsMaterial: SyntheticStyle number: 5031669999",349.00,349.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/0/5031669999_20.jpg?v=1&width=800,Women > Bags > Crossbody-bags,Women > Bags > Crossbody-bags,18/08/2026,,FALSE,,92,IN STOCK,,,Multi-Coloured,,,123,TRUE,TRUE,FALSE
Kurt Geiger London,6063839609,6063839609,Kurt Geiger Women's Tote Bag Brown Other Fabric Chelsea,https://www.kurtgeiger.com/women/bags/shoulder-bags/chelsea-sm-slouch-hobo-brown-other-fabric-kurt-geiger-london-6063839609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Small Chelsea Slouch Hobo bag is crafted from a brown microsuede fabric with crystal mesh over the top. The front of the bag is accented with an antiqued silver oval trimmed eagle head.19cm (H), 20cm (L), 9cm (D)Strap length: 25cmMagnetic snap closureCan fit phones up to 6inchesUnlined interior&nbsp;Material: FabricStyle number: 6063839609","This Small Chelsea Slouch Hobo bag is crafted from a brown microsuede fabric with crystal mesh over the top. The front of the bag is accented with an antiqued silver oval trimmed eagle head.19cm (H), 20cm (L), 9cm (D)Strap length: 25cmMagnetic snap closureCan fit phones up to 6inchesUnlined interior&nbsp;Material: FabricStyle number: 6063839609",159.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/0/6063839609_20.jpg?v=1&width=800,Women > Bags > Shoulder-bags,Women > Bags > Shoulder-bags,18/08/2026,,FALSE,,278,IN STOCK,,,Brown,,,32,TRUE,TRUE,FALSE
Kurt Geiger London,6317763019,6317763019,Kurt Geiger Women's Purse Silver Leather Other Bifold,https://www.kurtgeiger.com/women/bags/wallets/bifold-wallet-celia-silver-leather-other-kurt-geiger-london-6317763019?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Bifold Wallet is crafted from a silver crinkled leather in a shiny silver. There is a simple antiqued brass eagle head sat on the front.&nbsp;8cm (H), 14cm (L), 1cm (D)Can fit 6 classic credit cardsClear ID slot on the insidePop snap closureMaterial: LeatherStyle number: 6317763019","This Bifold Wallet is crafted from a silver crinkled leather in a shiny silver. There is a simple antiqued brass eagle head sat on the front.&nbsp;8cm (H), 14cm (L), 1cm (D)Can fit 6 classic credit cardsClear ID slot on the insidePop snap closureMaterial: LeatherStyle number: 6317763019",79.00,79.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/3/6317763019_20.jpg?v=1&width=800,Women > Bags > Wallets,Women > Bags > Wallets,18/08/2026,,FALSE,,89,IN STOCK,,,Metallic,,,125,TRUE,TRUE,FALSE
Kurt Geiger London,5585356999,5585356999,Kurt Geiger London Small Jelly Tote Bag - Wine Jelly Tote Bag,https://www.kurtgeiger.com/women/bags/tote-bags/jelly-sm-tote-bag-wine-combination-others-kurt-geiger-london-5585356999?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Small Jelly Tote Bag is crafted from a wine perspex fabric with hatched cut outs and debased branding on the front of the bag. There are two structured top handles, one with a luxe satin scarf and metallic red luggage tag.20cm (H), 27cm (L), 12cm (D)Strap length: 128cmTop handle drop: 10cmSatin interior printed pouch with drawstring tieCan fit phones up to 6inchesMaterial: SyntheticStyle number: 5585356999","This Small Jelly Tote Bag is crafted from a wine perspex fabric with hatched cut outs and debased branding on the front of the bag. There are two structured top handles, one with a luxe satin scarf and metallic red luggage tag.20cm (H), 27cm (L), 12cm (D)Strap length: 128cmTop handle drop: 10cmSatin interior printed pouch with drawstring tieCan fit phones up to 6inchesMaterial: SyntheticStyle number: 5585356999",199.00,199.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/5/5585356999_20.jpg?v=1&width=800,Women > Bags > Tote-bags,Women > Bags > Tote-bags,18/08/2026,,FALSE,,146,IN STOCK,,,Red,,,69,TRUE,TRUE,FALSE
